"Year","Variable","Value","WaterUser","State"
2009,"ReturnFlow",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2010,"ReturnFlow",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2011,"ReturnFlow",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2012,"ReturnFlow",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2013,"ReturnFlow",515,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2014,"ReturnFlow",411,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2000,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2001,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2002,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2003,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2004,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2005,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2006,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2007,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2008,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2009,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2010,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2011,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2012,"ConsumptiveUse",0,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2013,"ConsumptiveUse",1293,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2014,"ConsumptiveUse",1030,"MOHAVE COUNTY WATER AUTHORITY","AZ"
2000,"Diversion",0,"HOPI TRIBE","AZ"
2001,"Diversion",0,"HOPI TRIBE","AZ"
2002,"Diversion",0,"HOPI TRIBE","AZ"
2003,"Diversion",0,"HOPI TRIBE","AZ"
2004,"Diversion",0,"HOPI TRIBE","AZ"
2005,"Diversion",0,"HOPI TRIBE","AZ"
2006,"Diversion",0,"HOPI TRIBE","AZ"
2007,"Diversion",0,"HOPI TRIBE","AZ"
2008,"Diversion",0,"HOPI TRIBE","AZ"
2009,"Diversion",0,"HOPI TRIBE","AZ"
2010,"Diversion",0,"HOPI TRIBE","AZ"
2011,"Diversion",0,"HOPI TRIBE","AZ"
2012,"Diversion",0,"HOPI TRIBE","AZ"
2013,"Diversion",4681,"HOPI TRIBE","AZ"
2014,"Diversion",4900,"HOPI TRIBE","AZ"
2000,"ReturnFlow",0,"HOPI TRIBE","AZ"
2001,"ReturnFlow",0,"HOPI TRIBE","AZ"
2002,"ReturnFlow",0,"HOPI TRIBE","AZ"
2003,"ReturnFlow",0,"HOPI TRIBE","AZ"
2004,"ReturnFlow",0,"HOPI TRIBE","AZ"
2005,"ReturnFlow",0,"HOPI TRIBE","AZ"
2006,"ReturnFlow",0,"HOPI TRIBE","AZ"
2007,"ReturnFlow",0,"HOPI TRIBE","AZ"
2008,"ReturnFlow",0,"HOPI TRIBE","AZ"
2009,"ReturnFlow",0,"HOPI TRIBE","AZ"
2010,"ReturnFlow",0,"HOPI TRIBE","AZ"
2011,"ReturnFlow",0,"HOPI TRIBE","AZ"
2012,"ReturnFlow",0,"HOPI TRIBE","AZ"
2013,"ReturnFlow",1335,"HOPI TRIBE","AZ"
2014,"ReturnFlow",1397,"HOPI TRIBE","AZ"
2000,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2001,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2002,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2003,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2004,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2005,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2006,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2007,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2008,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2009,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2010,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2011,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2012,"ConsumptiveUse",0,"HOPI TRIBE","AZ"
2013,"ConsumptiveUse",3346,"HOPI TRIBE","AZ"
2014,"ConsumptiveUse",3503,"HOPI TRIBE","AZ"
2000,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2001,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2002,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2003,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2004,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2005,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2006,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2007,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2008,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2009,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2010,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2011,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2012,"Diversion",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2013,"Diversion",2670,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2014,"Diversion",2673,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2000,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2001,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2002,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2003,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2004,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2005,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2006,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2007,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2008,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2009,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2010,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2011,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2012,"ReturnFlow",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2013,"ReturnFlow",759,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2014,"ReturnFlow",761,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2000,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2001,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2002,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2003,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2004,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2005,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2006,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2007,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2008,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2009,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2010,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2011,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2012,"ConsumptiveUse",0,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2013,"ConsumptiveUse",1911,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2014,"ConsumptiveUse",1912,"GSC FARM LLC (formerly ARIZONA RECREATIONAL FACILITIES)","AZ"
2000,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2001,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2002,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2003,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2004,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2005,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2006,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2007,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2008,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2009,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2010,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2011,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2012,"Diversion",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2013,"Diversion",2611,"ARIZONA GAME AND FISH COMMISSION","AZ"
2014,"Diversion",2166,"ARIZONA GAME AND FISH COMMISSION","AZ"
2000,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2001,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2002,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2003,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2004,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2005,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2006,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2007,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2008,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2009,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2010,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2011,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2012,"ReturnFlow",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2013,"ReturnFlow",743,"ARIZONA GAME AND FISH COMMISSION","AZ"
2014,"ReturnFlow",616,"ARIZONA GAME AND FISH COMMISSION","AZ"
2000,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2001,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2002,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2003,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2004,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2005,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2006,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2007,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2008,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2009,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2010,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2011,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2012,"ConsumptiveUse",0,"ARIZONA GAME AND FISH COMMISSION","AZ"
2013,"ConsumptiveUse",1868,"ARIZONA GAME AND FISH COMMISSION","AZ"
2014,"ConsumptiveUse",1550,"ARIZONA GAME AND FISH COMMISSION","AZ"
2000,"Diversion",14567,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2001,"Diversion",11025,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2002,"Diversion",13339,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2003,"Diversion",13442,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2004,"Diversion",11263,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2005,"Diversion",10987,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2006,"Diversion",13305,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2007,"Diversion",13548,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2008,"Diversion",16814,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2009,"Diversion",16496,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2010,"Diversion",17875,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2011,"Diversion",13260,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2012,"Diversion",15002,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2013,"Diversion",18151,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2014,"Diversion",13972,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2000,"ReturnFlow",0,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2001,"ReturnFlow",0,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2002,"ReturnFlow",0,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2003,"ReturnFlow",5107,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2004,"ReturnFlow",4281,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2005,"ReturnFlow",4175,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2006,"ReturnFlow",5056,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2007,"ReturnFlow",5149,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2008,"ReturnFlow",6391,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2009,"ReturnFlow",6267,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2010,"ReturnFlow",6794,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2011,"ReturnFlow",5038,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2012,"ReturnFlow",5720,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2013,"ReturnFlow",7213,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2014,"ReturnFlow",5527,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2000,"ConsumptiveUse",14567,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2001,"ConsumptiveUse",11025,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2002,"ConsumptiveUse",13339,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2003,"ConsumptiveUse",8335,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2004,"ConsumptiveUse",6982,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2005,"ConsumptiveUse",6812,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2006,"ConsumptiveUse",8249,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2007,"ConsumptiveUse",8399,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2008,"ConsumptiveUse",10423,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2009,"ConsumptiveUse",10229,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2010,"ConsumptiveUse",11081,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2011,"ConsumptiveUse",8222,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2012,"ConsumptiveUse",9282,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2013,"ConsumptiveUse",10938,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2014,"ConsumptiveUse",8445,"CIBOLA NATIONAL WILDLIFE REFUGE","AZ"
2000,"Diversion",9000,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2001,"Diversion",8000,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2002,"Diversion",3000,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2003,"Diversion",3343,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2004,"Diversion",2411,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2005,"Diversion",1917,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2006,"Diversion",1671,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2007,"Diversion",1400,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2008,"Diversion",1923,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2009,"Diversion",1472,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2010,"Diversion",2626,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2011,"Diversion",1041,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2012,"Diversion",992,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2013,"Diversion",1644,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2014,"Diversion",1678,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2000,"ReturnFlow",0,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2001,"ReturnFlow",0,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2002,"ReturnFlow",0,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2003,"ReturnFlow",1270,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2004,"ReturnFlow",915,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2005,"ReturnFlow",729,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2006,"ReturnFlow",636,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2007,"ReturnFlow",531,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2008,"ReturnFlow",730,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2009,"ReturnFlow",560,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2010,"ReturnFlow",999,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2011,"ReturnFlow",396,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2012,"ReturnFlow",376,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2013,"ReturnFlow",625,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2014,"ReturnFlow",638,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2000,"ConsumptiveUse",9000,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2001,"ConsumptiveUse",8000,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2002,"ConsumptiveUse",3000,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2003,"ConsumptiveUse",2073,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2004,"ConsumptiveUse",1496,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2005,"ConsumptiveUse",1188,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2006,"ConsumptiveUse",1035,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2007,"ConsumptiveUse",869,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2008,"ConsumptiveUse",1193,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2009,"ConsumptiveUse",912,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2010,"ConsumptiveUse",1627,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2011,"ConsumptiveUse",645,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2012,"ConsumptiveUse",616,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2013,"ConsumptiveUse",1019,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2014,"ConsumptiveUse",1040,"IMPERIAL NATIONAL WILDLIFE REFUGE","AZ"
2000,"Diversion",923,"YUMA PROVING GROUND","AZ"
2001,"Diversion",875,"YUMA PROVING GROUND","AZ"
2002,"Diversion",666,"YUMA PROVING GROUND","AZ"
2003,"Diversion",573,"YUMA PROVING GROUND","AZ"
2004,"Diversion",616,"YUMA PROVING GROUND","AZ"
2005,"Diversion",600.086823255159,"YUMA PROVING GROUND","AZ"
2006,"Diversion",728,"YUMA PROVING GROUND","AZ"
2007,"Diversion",712,"YUMA PROVING GROUND","AZ"
2008,"Diversion",655,"YUMA PROVING GROUND","AZ"
2009,"Diversion",673,"YUMA PROVING GROUND","AZ"
2010,"Diversion",785,"YUMA PROVING GROUND","AZ"
2011,"Diversion",673,"YUMA PROVING GROUND","AZ"
2012,"Diversion",551,"YUMA PROVING GROUND","AZ"
2013,"Diversion",550,"YUMA PROVING GROUND","AZ"
2014,"Diversion",425,"YUMA PROVING GROUND","AZ"
2000,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2001,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2002,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2003,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2004,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2005,"ReturnFlow",0.0824241771081579,"YUMA PROVING GROUND","AZ"
2006,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2007,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2008,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2009,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2010,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2011,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2012,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2013,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2014,"ReturnFlow",0,"YUMA PROVING GROUND","AZ"
2000,"ConsumptiveUse",923,"YUMA PROVING GROUND","AZ"
2001,"ConsumptiveUse",875,"YUMA PROVING GROUND","AZ"
2002,"ConsumptiveUse",666,"YUMA PROVING GROUND","AZ"
2003,"ConsumptiveUse",573,"YUMA PROVING GROUND","AZ"
2004,"ConsumptiveUse",616,"YUMA PROVING GROUND","AZ"
2005,"ConsumptiveUse",600.004399078051,"YUMA PROVING GROUND","AZ"
2006,"ConsumptiveUse",728,"YUMA PROVING GROUND","AZ"
2007,"ConsumptiveUse",712,"YUMA PROVING GROUND","AZ"
2008,"ConsumptiveUse",655,"YUMA PROVING GROUND","AZ"
2009,"ConsumptiveUse",673,"YUMA PROVING GROUND","AZ"
2010,"ConsumptiveUse",785,"YUMA PROVING GROUND","AZ"
2011,"ConsumptiveUse",673,"YUMA PROVING GROUND","AZ"
2012,"ConsumptiveUse",551,"YUMA PROVING GROUND","AZ"
2013,"ConsumptiveUse",550,"YUMA PROVING GROUND","AZ"
2014,"ConsumptiveUse",425,"YUMA PROVING GROUND","AZ"
2000,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2001,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2002,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2003,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2004,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2005,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2006,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2007,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2008,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2009,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2010,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2011,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2012,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2013,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2014,"Diversion",0,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2000,"ReturnFlow",669,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2001,"ReturnFlow",479,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2002,"ReturnFlow",647,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2003,"ReturnFlow",4764,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2004,"ReturnFlow",4914,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2005,"ReturnFlow",3795,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2006,"ReturnFlow",3946,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2007,"ReturnFlow",4152,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2008,"ReturnFlow",3095,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2009,"ReturnFlow",3558,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2010,"ReturnFlow",3276,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2011,"ReturnFlow",3463,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2012,"ReturnFlow",3518,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2013,"ReturnFlow",3404,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
2014,"ReturnFlow",3273,"GILA MONSTER FARM ( aka Gila Monster Ranch - Sturges-Warren Act Contractors","AZ"
