0762/01/01	13.54766614256;16.352085244;19.15650434544			14.6374022878963;14.6374022878963;14.6374022878963
0763/01/01	10.37777753056;13.182196632;15.98661573344			14.6374022878963;14.6374022878963;14.6374022878963
0764/01/01	9.33195750256;12.136376604;14.94079570544			14.6374022878963;14.6374022878963;14.6374022878963
0765/01/01	9.88324247856;12.68766158;15.49208068144			14.6374022878963;14.6374022878963;14.6374022878963
0766/01/01	13.85573715856;16.66015626;19.46457536144			14.6374022878963;14.6374022878963;14.6374022878963
0767/01/01	11.56952593456;14.373945036;17.17836413744			14.6374022878963;14.6374022878963;14.6374022878963
0768/01/01	13.74223731056;16.546656412;19.35107551344			14.6374022878963;14.6374022878963;14.6374022878963
0769/01/01	13.67738025456;16.481799356;19.28621845744			14.6374022878963;14.6374022878963;14.6374022878963
0770/01/01	10.68584854656;13.490267648;16.29468674944			14.6374022878963;14.6374022878963;14.6374022878963
0771/01/01	11.20470499456;14.009124096;16.81354319744		14.5920268868;14.5920268868;14.5920268868	14.6374022878963;14.6374022878963;14.6374022878963
0772/01/01	15.30691378656;18.111332888;20.91575198944		14.7679516512;14.7679516512;14.7679516512	14.6374022878963;14.6374022878963;14.6374022878963
0773/01/01	13.08555961856;15.88997872;18.69439782144		15.03872986;15.03872986;15.03872986	14.6374022878963;14.6374022878963;14.6374022878963
0774/01/01	9.51842153856;12.32284064;15.12725974144		15.0573762636;15.0573762636;15.0573762636	14.6374022878963;14.6374022878963;14.6374022878963
0775/01/01	12.22620362656;15.030622728;17.83504182944		15.2916723784;15.2916723784;15.2916723784	14.6374022878963;14.6374022878963;14.6374022878963
0776/01/01	16.30409102256;19.108510124;21.91292922544		15.5365077648;15.5365077648;15.5365077648	14.6374022878963;14.6374022878963;14.6374022878963
0777/01/01	14.07462972256;16.879048824;19.68346792544		15.7870181436;15.7870181436;15.7870181436	14.6374022878963;14.6374022878963;14.6374022878963
0778/01/01	12.61534596256;15.419765064;18.22418416544		15.6743290088;15.6743290088;15.6743290088	14.6374022878963;14.6374022878963;14.6374022878963
0779/01/01	11.69924004656;14.503659148;17.30807824944		15.476514988;15.476514988;15.476514988	14.6374022878963;14.6374022878963;14.6374022878963
0780/01/01	14.37459360656;17.179012708;19.98343180944		15.845389494;15.845389494;15.845389494	14.6374022878963;14.6374022878963;14.6374022878963
0781/01/01	10.62099149056;13.425410592;16.22982969344		15.7870181436;15.7870181436;15.7870181436	14.6374022878963;14.6374022878963;14.6374022878963
0782/01/01	13.51523761456;16.319656716;19.12407581744		15.6078505264;15.6078505264;15.6078505264	14.6374022878963;14.6374022878963;14.6374022878963
0783/01/01	15.33934231456;18.143761416;20.94818051744		15.833228796;15.833228796;15.833228796	14.6374022878963;14.6374022878963;14.6374022878963
0784/01/01	21.50886976656;24.313288868;27.11770796944		17.0322736188;17.0322736188;17.0322736188	14.6374022878963;14.6374022878963;14.6374022878963
0785/01/01	15.11234261856;17.91676172;20.72118082144		17.320887518;17.320887518;17.320887518	14.6374022878963;14.6374022878963;14.6374022878963
0786/01/01	5.95939059056;8.763809692;11.56822879344		16.2864174748;16.2864174748;16.2864174748	14.6374022878963;14.6374022878963;14.6374022878963
0787/01/01	12.81802426256;15.622443364;18.42686246544		16.1607569288;16.1607569288;16.1607569288	14.6374022878963;14.6374022878963;14.6374022878963
0788/01/01	14.42323639856;17.2276555;20.03207460144		16.3415459724;16.3415459724;16.3415459724	14.6374022878963;14.6374022878963;14.6374022878963
0789/01/01	14.30162941856;17.10604852;19.91046762144		16.6017849096;16.6017849096;16.6017849096	14.6374022878963;14.6374022878963;14.6374022878963
0790/01/01	11.52899027456;14.333409376;17.13782847744		16.3172245764;16.3172245764;16.3172245764	14.6374022878963;14.6374022878963;14.6374022878963
0791/01/01	10.56424156656;13.368660668;16.17307976944		16.311549584;16.311549584;16.311549584	14.6374022878963;14.6374022878963;14.6374022878963
0792/01/01	7.85645947856;10.66087858;13.46529768144		15.7456717704;15.7456717704;15.7456717704	14.6374022878963;14.6374022878963;14.6374022878963
0793/01/01	10.71827707456;13.522696176;16.32711527744		15.2835652464;15.2835652464;15.2835652464	14.6374022878963;14.6374022878963;14.6374022878963
0794/01/01	8.95092229856;11.7553414;14.55976050144		14.0277704996;14.0277704996;14.0277704996	14.6374022878963;14.6374022878963;14.6374022878963
0795/01/01	15.53391348256;18.338332584;21.14275168544		14.069927586;14.069927586;14.069927586	14.6374022878963;14.6374022878963;14.6374022878963
0796/01/01	15.21773533456;18.022154436;20.82657353744		14.9957620604;14.9957620604;14.9957620604	14.6374022878963;14.6374022878963;14.6374022878963
0797/01/01	8.20506615456;11.009485256;13.81390435744		14.5344662496;14.5344662496;14.5344662496	14.6374022878963;14.6374022878963;14.6374022878963
0798/01/01	13.13420241056;15.938621512;18.74304061344		14.4055628508;14.4055628508;14.4055628508	14.6374022878963;14.6374022878963;14.6374022878963
0799/01/01	9.40492169056;12.209340792;15.01375989344		13.915892078;13.915892078;13.915892078	14.6374022878963;14.6374022878963;14.6374022878963
0800/01/01	14.45566492656;17.260084028;20.06450312944		14.2085595432;14.2085595432;14.2085595432	14.6374022878963;14.6374022878963;14.6374022878963
0801/01/01	18.35519541856;21.15961452;23.96403362144		14.9876549284;14.9876549284;14.9876549284	14.6374022878963;14.6374022878963;14.6374022878963
0802/01/01	17.29316112656;20.097580228;22.90199932944		15.9313250932;15.9313250932;15.9313250932	14.6374022878963;14.6374022878963;14.6374022878963
0803/01/01	18.29844549456;21.102864596;23.90728369744		16.6893419352;16.6893419352;16.6893419352	14.6374022878963;14.6374022878963;14.6374022878963
0804/01/01	14.25298662656;17.057405728;19.86182482944		17.219548368;17.219548368;17.219548368	14.6374022878963;14.6374022878963;14.6374022878963
0805/01/01	10.54802730256;13.352446404;16.15686550544		16.72095975;16.72095975;16.72095975	14.6374022878963;14.6374022878963;14.6374022878963
0806/01/01	10.15888496656;12.963304068;15.76772316944		16.2150747132;16.2150747132;16.2150747132	14.6374022878963;14.6374022878963;14.6374022878963
0807/01/01	8.52124430256;11.325663404;14.13008250544		16.246692528;16.246692528;16.246692528	14.6374022878963;14.6374022878963;14.6374022878963
0808/01/01	11.28577631456;14.090195416;16.89461451744		16.0618499184;16.0618499184;16.0618499184	14.6374022878963;14.6374022878963;14.6374022878963
0809/01/01	7.60513838656;10.409557488;13.21397658944		15.881871588;15.881871588;15.881871588	14.6374022878963;14.6374022878963;14.6374022878963
0810/01/01	15.69605612256;18.500475224;21.30489432544		16.0059107076;16.0059107076;16.0059107076	14.6374022878963;14.6374022878963;14.6374022878963
0811/01/01	15.66362759456;18.468046696;21.27246579744		15.7367539252;15.7367539252;15.7367539252	14.6374022878963;14.6374022878963;14.6374022878963
0812/01/01	11.43170469056;14.236123792;17.04054289344		15.1506082816;15.1506082816;15.1506082816	14.6374022878963;14.6374022878963;14.6374022878963
0813/01/01	12.80991713056;15.614336232;18.41875533344		14.6017554452;14.6017554452;14.6017554452	14.6374022878963;14.6374022878963;14.6374022878963
0814/01/01	11.35874050256;14.163159604;16.96757870544		14.3123308328;14.3123308328;14.3123308328	14.6374022878963;14.6374022878963;14.6374022878963
0815/01/01	5.47296267056;8.277381772;11.08180087344		13.8048243696;13.8048243696;13.8048243696	14.6374022878963;14.6374022878963;14.6374022878963
0816/01/01	12.90720271456;15.711621816;18.51604091744		14.0796561444;14.0796561444;14.0796561444	14.6374022878963;14.6374022878963;14.6374022878963
0817/01/01	10.15077783456;12.955196936;15.75961603744		14.2426094976;14.2426094976;14.2426094976	14.6374022878963;14.6374022878963;14.6374022878963
0818/01/01	8.11588770256;10.920306804;13.72472590544		13.9256206364;13.9256206364;13.9256206364	14.6374022878963;14.6374022878963;14.6374022878963
0819/01/01	5.50539119856;8.3098103;11.11422940144		13.7156459176;13.7156459176;13.7156459176	14.6374022878963;14.6374022878963;14.6374022878963
0820/01/01	16.82294747056;19.627366572;22.43178567344		13.8283350524;13.8283350524;13.8283350524	14.6374022878963;14.6374022878963;14.6374022878963
0821/01/01	17.05805429856;19.8624734;22.66689250144		13.9677777228;13.9677777228;13.9677777228	14.6374022878963;14.6374022878963;14.6374022878963
0822/01/01	10.25617055056;13.060589652;15.86500875344		13.8502243088;13.8502243088;13.8502243088	14.6374022878963;14.6374022878963;14.6374022878963
0823/01/01	2.05175296656;4.856172068;7.66059116944		12.7744078924;12.7744078924;12.7744078924	14.6374022878963;14.6374022878963;14.6374022878963
0824/01/01	8.87795811056;11.682377212;14.48679631344		12.5263296532;12.5263296532;12.5263296532	14.6374022878963;14.6374022878963;14.6374022878963
0825/01/01	9.23467191856;12.03909102;14.84351012144		12.902500578;12.902500578;12.902500578	14.6374022878963;14.6374022878963;14.6374022878963
0826/01/01	12.95584550656;15.760264608;18.56468370944		12.9073648572;12.9073648572;12.9073648572	14.6374022878963;14.6374022878963;14.6374022878963
0827/01/01	9.99674232656;12.801161428;15.60558052944		12.8919613064;12.8919613064;12.8919613064	14.6374022878963;14.6374022878963;14.6374022878963
0828/01/01	9.42924308656;12.233662188;15.03808128944		13.0232968448;13.0232968448;13.0232968448	14.6374022878963;14.6374022878963;14.6374022878963
0829/01/01	8.72392260256;11.528341704;14.33276080544		13.3451499852;13.3451499852;13.3451499852	14.6374022878963;14.6374022878963;14.6374022878963
0830/01/01	7.62135265056;10.425771752;13.23019085344		12.4249905032;12.4249905032;12.4249905032	14.6374022878963;14.6374022878963;14.6374022878963
0831/01/01	12.33970347456;15.144122576;17.94854167744		11.9531554208;11.9531554208;11.9531554208	14.6374022878963;14.6374022878963;14.6374022878963
0832/01/01	14.12327251456;16.927691616;19.73211071744		12.3398656172;12.3398656172;12.3398656172	14.6374022878963;14.6374022878963;14.6374022878963
0833/01/01	12.21809649456;15.022515596;17.82693469744		13.35649997;13.35649997;13.35649997	14.6374022878963;14.6374022878963;14.6374022878963
0834/01/01	9.53463580256;12.339054904;15.14347400544		13.4221677392;13.4221677392;13.4221677392	14.6374022878963;14.6374022878963;14.6374022878963
0835/01/01	7.03763914656;9.842058248;12.64647734944		13.202464462;13.202464462;13.202464462	14.6374022878963;14.6374022878963;14.6374022878963
0836/01/01	12.30727494656;15.111694048;17.91611314944		13.137607406;13.137607406;13.137607406	14.6374022878963;14.6374022878963;14.6374022878963
0837/01/01	14.05030832656;16.854727428;19.65914652944		13.542964006;13.542964006;13.542964006	14.6374022878963;14.6374022878963;14.6374022878963
0838/01/01	13.45038055856;16.25479966;19.05921876144		13.9450777532;13.9450777532;13.9450777532	14.6374022878963;14.6374022878963;14.6374022878963
0839/01/01	9.38870742656;12.193126528;14.99754562944		14.0115562356;14.0115562356;14.0115562356	14.6374022878963;14.6374022878963;14.6374022878963
0840/01/01	6.08099757056;8.885416672;11.68983577344		13.8575207276;13.8575207276;13.8575207276	14.6374022878963;14.6374022878963;14.6374022878963
0841/01/01	10.00484945856;12.80926856;15.61368766144		13.624035326;13.624035326;13.624035326	14.6374022878963;14.6374022878963;14.6374022878963
0842/01/01	11.39927616256;14.203695264;17.00811436544		13.3516356908;13.3516356908;13.3516356908	14.6374022878963;14.6374022878963;14.6374022878963
0843/01/01	13.93680847856;16.74122758;19.54564668144		13.5235068892;13.5235068892;13.5235068892	14.6374022878963;14.6374022878963;14.6374022878963
0844/01/01	14.09895111856;16.90337022;19.70778932144		13.9799384208;13.9799384208;13.9799384208	14.6374022878963;14.6374022878963;14.6374022878963
0845/01/01	11.38306189856;14.187481;16.99190010144		14.414480696;14.414480696;14.414480696	14.6374022878963;14.6374022878963;14.6374022878963
0846/01/01	11.29388344656;14.098302548;16.90272164944		14.313141546;14.313141546;14.313141546	14.6374022878963;14.6374022878963;14.6374022878963
0847/01/01	9.69677844256;12.501197544;15.30561664544		13.8777885576;13.8777885576;13.8777885576	14.6374022878963;14.6374022878963;14.6374022878963
0848/01/01	7.68620970656;10.490628808;13.29504790944		13.3013714724;13.3013714724;13.3013714724	14.6374022878963;14.6374022878963;14.6374022878963
0849/01/01	8.95902943056;11.763448532;14.56786763344		13.2584036728;13.2584036728;13.2584036728	14.6374022878963;14.6374022878963;14.6374022878963
0850/01/01	16.22301970256;19.027438804;21.83185790544		14.272605886;14.272605886;14.272605886	14.6374022878963;14.6374022878963;14.6374022878963
0851/01/01	13.53955901056;16.343978112;19.14839721344		14.6260768412;14.6260768412;14.6260768412	14.6374022878963;14.6374022878963;14.6374022878963
0852/01/01	10.67774141456;13.482160516;16.28657961744		14.5539233664;14.5539233664;14.5539233664	14.6374022878963;14.6374022878963;14.6374022878963
0853/01/01	12.56670317056;15.371122272;18.17554137344		14.4169128356;14.4169128356;14.4169128356	14.6374022878963;14.6374022878963;14.6374022878963
0854/01/01	14.32595081456;17.130369916;19.93478901744		14.4396128052;14.4396128052;14.4396128052	14.6374022878963;14.6374022878963;14.6374022878963
