Year	depletion
1914	4865.913385
1915	4943.369923
1916	5347.385462
1917	5623.394
1918	6038.133538
1919	5970.071077
1920	6194.228615
1921	5681.454154
1922	6371.387692
1923	6435.661231
1924	6640.396769
1925	6520.315308
1926	6527.361846
1927	6499.339385
1928	6803.605923
1929	6966.211462
1930	7139.156
1931	6682.014538
1932	6586.289077
1933	6848.126615
1934	5883.129154
1935	6984.959092
1936	7791.770131
1937	7849.745769
1938	8034.728508
1939	8219.785493
1940	8242.550698
1941	7931.190337
1942	8144.546579
1943	7955.152766
1944	8195.712038
1945	8171.824046
1946	8487.3373869
1947	8595.583529
1948	8784.685145
1949	8959.62209
1950	9451.3135346
1951	9998.184811
1952	10454.56669
1953	10680.027119
1954	10699.684845
1955	10467.3556089
1956	10877.3673906
1957	10402.573588
1958	11055.699302
1959	11090.639099
1960	11566.153513
1961	11341.11387
1962	11866.543478
1963	11669.4702283
1964	12173.1445683
1965	11839.46017742
1966	12550.53237322
1967	12023.61624934
1968	12325.63143958
1969	12339.95878541
1970	12741.55861008
1971	13315.833675224
1972	13422.838016459
1973	13628.358212237
1974	14136.504650488
1975	13573.945626346
1976	13102.593916104
1977	12878.758710469
1978	13154.238548519
1979	13699.107054584
1980	13795.803944835
1981	14093.633157509
1982	13242.20741738
1983	13280.978238187
1984	13619.466062435
1985	14100.566919487
1986	14186.017648433
1987	14724.361893335
1988	15490.3787715
1989	15740.094880562
1990	15446.097411744
1991	14882.344056907
1992	14635.284561998
1993	15136.990975302
1994	15779.690540677
1995	14704.905222135
1996	16101.242331114
1997	16189.640094843
1998	15863.485100534
1999	15989.670197698
2000	16704.482254839
2001	16667.067908039
2002	16192.151874292
2003	15158.493847524
2004	14682.360722732
2005	14489.362082306
2006	14978.614372222
2007	15280.924599498
2008	15484.47102687
2009	15313.471440331
2010	15130.939097605
