Date,Reservoir,Variable,Value
1937-05-31,Mead,storage,10302056.64
1937-06-30,Mead,storage,11905292.72
1937-07-31,Mead,storage,12496882.81
1937-08-31,Mead,storage,12187352.78
1937-09-30,Mead,storage,12010102.29
1937-10-31,Mead,storage,11922957.28
1937-11-30,Mead,storage,11854138.18
1937-12-31,Mead,storage,11832750.00
1938-01-31,Mead,storage,11763000.00
1938-02-28,Mead,storage,11747185.91
1938-03-31,Mead,storage,12232000.00
1938-04-30,Mead,storage,13121795.17
1938-05-31,Mead,storage,15724705.32
1938-06-30,Mead,storage,19344797.00
1938-07-31,Mead,storage,20341082.52
1938-08-31,Mead,storage,20138372.56
1938-09-30,Mead,storage,20379773.07
1938-10-31,Mead,storage,20076143.80
1938-11-30,Mead,storage,19727006.71
1938-12-31,Mead,storage,19725755.49
1939-01-31,Mead,storage,19318971.80
1939-02-28,Mead,storage,18352794.07
1939-03-31,Mead,storage,18446994.14
1939-04-30,Mead,storage,19016245.36
1939-05-31,Mead,storage,20685692.38
1939-06-30,Mead,storage,21649446.04
1939-07-31,Mead,storage,21357575.20
1939-08-31,Mead,storage,20835535.52
1939-09-30,Mead,storage,21044767.09
1939-10-31,Mead,storage,20675298.10
1939-11-30,Mead,storage,20281747.56
1939-12-31,Mead,storage,19883256.71
1940-01-31,Mead,storage,19504361.82
1940-02-29,Mead,storage,19396482.42
1940-03-31,Mead,storage,19230415.41
1940-04-30,Mead,storage,19252547.00
1940-05-31,Mead,storage,20577146.85
1940-06-30,Mead,storage,21472103.27
1940-07-31,Mead,storage,21158285.16
1940-08-31,Mead,storage,20670093.02
1940-09-30,Mead,storage,20445564.33
1940-10-31,Mead,storage,20370750.00
1940-11-30,Mead,storage,19868257.32
1940-12-31,Mead,storage,19649507.32
1941-01-31,Mead,storage,20200000.00
1941-02-28,Mead,storage,20250000.00
1941-03-31,Mead,storage,20620000.00
1941-04-30,Mead,storage,21340000.00
1941-05-31,Mead,storage,24870000.00
1941-06-30,Mead,storage,27020000.00
1941-07-31,Mead,storage,27780000.00
1941-08-31,Mead,storage,27170000.00
1941-09-30,Mead,storage,26150000.00
1941-10-31,Mead,storage,26360000.00
1941-11-30,Mead,storage,25510000.00
1941-12-31,Mead,storage,24090000.00
1942-01-31,Mead,storage,22540000.00
1942-02-28,Mead,storage,21460000.00
1942-03-31,Mead,storage,20730000.00
1942-04-30,Mead,storage,22280000.00
1942-05-31,Mead,storage,24040000.00
1942-06-30,Mead,storage,26650000.00
1942-07-31,Mead,storage,26660000.00
1942-08-31,Mead,storage,26230000.00
1942-09-30,Mead,storage,25430000.00
1942-10-31,Mead,storage,24580000.00
1942-11-30,Mead,storage,23840000.00
1942-12-31,Mead,storage,23040000.00
1943-01-31,Mead,storage,22290000.00
1943-02-28,Mead,storage,21840000.00
1943-03-31,Mead,storage,21490000.00
1943-04-30,Mead,storage,21970000.00
1943-05-31,Mead,storage,23090000.00
1943-06-30,Mead,storage,24600000.00
1943-07-31,Mead,storage,24920000.00
1943-08-31,Mead,storage,24640000.00
1943-09-30,Mead,storage,24070000.00
1943-10-31,Mead,storage,23250000.00
1943-11-30,Mead,storage,22500000.00
1943-12-31,Mead,storage,21670000.00
1944-01-31,Mead,storage,20690000.00
1944-02-29,Mead,storage,19830000.00
1944-03-31,Mead,storage,19100000.00
1944-04-30,Mead,storage,19060000.00
1944-05-31,Mead,storage,20990000.00
1944-06-30,Mead,storage,23950000.00
1944-07-31,Mead,storage,24630000.00
1944-08-31,Mead,storage,23820000.00
1944-09-30,Mead,storage,22860000.00
1944-10-31,Mead,storage,21970000.00
1944-11-30,Mead,storage,21160000.00
1944-12-31,Mead,storage,20310000.00
1945-01-31,Mead,storage,19450000.00
1945-02-28,Mead,storage,18770000.00
1945-03-31,Mead,storage,18030000.00
1945-04-30,Mead,storage,17770000.00
1945-05-31,Mead,storage,19460000.00
1945-06-30,Mead,storage,21160000.00
1945-07-31,Mead,storage,21990000.00
1945-08-31,Mead,storage,22010000.00
1945-09-30,Mead,storage,21620000.00
1945-10-31,Mead,storage,21040000.00
1945-11-30,Mead,storage,20430000.00
1945-12-31,Mead,storage,19720000.00
1946-01-31,Mead,storage,18990000.00
1946-02-28,Mead,storage,18280000.00
1946-03-31,Mead,storage,17770000.00
1946-04-30,Mead,storage,17860000.00
1946-05-31,Mead,storage,18700000.00
1946-06-30,Mead,storage,19790000.00
1946-07-31,Mead,storage,19710000.00
1946-08-31,Mead,storage,19450000.00
1946-09-30,Mead,storage,19010000.00
1946-10-31,Mead,storage,18547000.00
1946-11-30,Mead,storage,18275000.00
1946-12-31,Mead,storage,17904000.00
1947-01-31,Mead,storage,17207000.00
1947-02-28,Mead,storage,16690000.00
1947-03-31,Mead,storage,16383000.00
1947-04-30,Mead,storage,16283000.00
1947-05-31,Mead,storage,18309000.00
1947-06-30,Mead,storage,20523000.00
1947-07-31,Mead,storage,21513000.00
1947-08-31,Mead,storage,21909000.00
1947-09-30,Mead,storage,21625000.00
1947-10-31,Mead,storage,21606000.00
1947-11-30,Mead,storage,21255000.00
1947-12-31,Mead,storage,20645000.00
1948-01-31,Mead,storage,19866000.00
1948-02-29,Mead,storage,19148000.00
1948-03-31,Mead,storage,18620000.00
1948-04-30,Mead,storage,19144000.00
1948-05-31,Mead,storage,21349000.00
1948-06-30,Mead,storage,23567000.00
1948-07-31,Mead,storage,23310000.00
1948-08-31,Mead,storage,22840000.00
1948-09-30,Mead,storage,22002000.00
1948-10-31,Mead,storage,21342000.00
