Date,Reservoir,Variable,Value
1948-11-30,Mead,storage,20687000.00
1948-12-31,Mead,storage,19908000.00
1949-01-31,Mead,storage,19054000.00
1949-02-28,Mead,storage,18196000.00
1949-03-31,Mead,storage,17735000.00
1949-04-30,Mead,storage,17872000.00
1949-05-31,Mead,storage,19865000.00
1949-06-30,Mead,storage,23135000.00
1949-07-31,Mead,storage,24202000.00
1949-08-31,Mead,storage,23711000.00
1949-09-30,Mead,storage,22827000.00
1949-10-31,Mead,storage,21344000.00
1949-11-30,Mead,storage,20782000.00
1949-12-31,Mead,storage,19900000.00
1950-01-31,Mead,storage,18953000.00
1950-02-28,Mead,storage,18268000.00
1950-03-31,Mead,storage,17686000.00
1950-04-30,Mead,storage,17730000.00
1950-05-31,Mead,storage,18491000.00
1950-06-30,Mead,storage,20397000.00
1950-07-31,Mead,storage,20811000.00
1950-08-31,Mead,storage,20320000.00
1950-09-30,Mead,storage,19738000.00
1950-10-31,Mead,storage,19201000.00
1950-11-30,Mead,storage,18686000.00
1950-12-31,Mead,storage,18259000.00
1951-01-31,Mead,storage,17654000.00
1951-02-28,Mead,storage,17255000.00
1951-03-31,Mead,storage,16806000.00
1951-04-30,Mead,storage,16500000.00
1951-05-31,Mead,storage,17043000.00
1951-06-30,Mead,storage,19091000.00
1951-07-31,Mead,storage,19663000.00
1951-08-31,Mead,storage,19518000.00
1951-09-30,Mead,storage,19118000.00
1951-10-31,Mead,storage,18713000.00
1951-11-30,Mead,storage,18334000.00
1951-12-31,Mead,storage,17846000.00
1952-01-31,Mead,storage,17375000.00
1952-02-29,Mead,storage,16574000.00
1952-03-31,Mead,storage,15691000.00
1952-04-30,Mead,storage,16570000.00
1952-05-31,Mead,storage,20086000.00
1952-06-30,Mead,storage,23683000.00
1952-07-31,Mead,storage,23946000.00
1952-08-31,Mead,storage,23350000.00
1952-09-30,Mead,storage,22543000.00
1952-10-31,Mead,storage,21604000.00
1952-11-30,Mead,storage,20712000.00
1952-12-31,Mead,storage,19780000.00
1953-01-31,Mead,storage,18972000.00
1953-02-28,Mead,storage,18318000.00
1953-03-31,Mead,storage,17764000.00
1953-04-30,Mead,storage,17299000.00
1953-05-31,Mead,storage,17177000.00
1953-06-30,Mead,storage,19285000.00
1953-07-31,Mead,storage,19378000.00
1953-08-31,Mead,storage,19072000.00
1953-09-30,Mead,storage,18384000.00
1953-10-31,Mead,storage,17831000.00
1953-11-30,Mead,storage,17490000.00
1953-12-31,Mead,storage,17000000.00
1954-01-31,Mead,storage,16511000.00
1954-02-28,Mead,storage,16154000.00
1954-03-31,Mead,storage,15701000.00
1954-04-30,Mead,storage,15289000.00
1954-05-31,Mead,storage,15342000.00
1954-06-30,Mead,storage,15248000.00
1954-07-31,Mead,storage,14862000.00
1954-08-31,Mead,storage,14294000.00
1954-09-30,Mead,storage,13739000.00
1954-10-31,Mead,storage,13489000.00
1954-11-30,Mead,storage,13175000.00
1954-12-31,Mead,storage,12750000.00
1955-01-31,Mead,storage,12305000.00
1955-02-28,Mead,storage,11869000.00
1955-03-31,Mead,storage,11564000.00
1955-04-30,Mead,storage,11279000.00
1955-05-31,Mead,storage,11847000.00
1955-06-30,Mead,storage,12799000.00
1955-07-31,Mead,storage,12580000.00
1955-08-31,Mead,storage,12497000.00
1955-09-30,Mead,storage,12090000.00
1955-10-31,Mead,storage,11773000.00
1955-11-30,Mead,storage,11544000.00
1955-12-31,Mead,storage,11394000.00
1956-01-31,Mead,storage,11231000.00
1956-02-29,Mead,storage,11038000.00
1956-03-31,Mead,storage,10727000.00
1956-04-30,Mead,storage,10748000.00
1956-05-31,Mead,storage,12043000.00
1956-06-30,Mead,storage,13864000.00
1956-07-31,Mead,storage,13658000.00
1956-08-31,Mead,storage,13266000.00
1956-09-30,Mead,storage,12785000.00
1956-10-31,Mead,storage,12427000.00
1956-11-30,Mead,storage,12150000.00
1956-12-31,Mead,storage,11951000.00
1957-01-31,Mead,storage,11768000.00
1957-02-28,Mead,storage,11700000.00
1957-03-31,Mead,storage,11508000.00
1957-04-30,Mead,storage,11395000.00
1957-05-31,Mead,storage,13133000.00
1957-06-30,Mead,storage,17577000.00
1957-07-31,Mead,storage,20671000.00
1957-08-31,Mead,storage,21498000.00
1957-09-30,Mead,storage,21522000.00
1957-10-31,Mead,storage,21519000.00
1957-11-30,Mead,storage,21400000.00
1957-12-31,Mead,storage,20842000.00
1958-01-31,Mead,storage,20013000.00
1958-02-28,Mead,storage,19712000.00
1958-03-31,Mead,storage,19104000.00
1958-04-30,Mead,storage,19223000.00
1958-05-31,Mead,storage,21928000.00
1958-06-30,Mead,storage,24760000.00
1958-07-31,Mead,storage,24458000.00
1958-08-31,Mead,storage,23814000.00
1958-09-30,Mead,storage,23326000.00
1958-10-31,Mead,storage,22885000.00
1958-11-30,Mead,storage,22486000.00
1958-12-31,Mead,storage,21973000.00
1959-01-31,Mead,storage,21502000.00
1959-02-28,Mead,storage,21190000.00
1959-03-31,Mead,storage,20739000.00
1959-04-30,Mead,storage,20252000.00
1959-05-31,Mead,storage,20222000.00
1959-06-30,Mead,storage,21165000.00
1959-07-31,Mead,storage,21090000.00
1959-08-31,Mead,storage,20616000.00
1959-09-30,Mead,storage,20036000.00
1959-10-31,Mead,storage,19811000.00
1959-11-30,Mead,storage,19748000.00
1959-12-31,Mead,storage,19553000.00
1960-01-31,Mead,storage,19282000.00
1960-02-29,Mead,storage,19121000.00
1960-03-31,Mead,storage,19180000.00
1960-04-30,Mead,storage,19884000.00
1960-05-31,Mead,storage,20544000.00
1960-06-30,Mead,storage,21682000.00
1960-07-31,Mead,storage,21362000.00
1960-08-31,Mead,storage,20564000.00
1960-09-30,Mead,storage,19938000.00
1960-10-31,Mead,storage,19701000.00
1960-11-30,Mead,storage,19575000.00
1960-12-31,Mead,storage,19286000.00
1961-01-31,Mead,storage,18986000.00
1961-02-28,Mead,storage,18753000.00
1961-03-31,Mead,storage,18208000.00
1961-04-30,Mead,storage,17898000.00
1961-05-31,Mead,storage,18002000.00
1961-06-30,Mead,storage,18806000.00
1961-07-31,Mead,storage,18378000.00
1961-08-31,Mead,storage,17955000.00
1961-09-30,Mead,storage,17919000.00
1961-10-31,Mead,storage,18085000.00
1961-11-30,Mead,storage,18093000.00
1961-12-31,Mead,storage,18025000.00
1962-01-31,Mead,storage,17898000.00
1962-02-28,Mead,storage,18246000.00
1962-03-31,Mead,storage,18030000.00
1962-04-30,Mead,storage,19363000.00
1962-05-31,Mead,storage,21933000.00
1962-06-30,Mead,storage,23698000.00
1962-07-31,Mead,storage,24545000.00
1962-08-31,Mead,storage,24089000.00
1962-09-30,Mead,storage,23622000.00
1962-10-31,Mead,storage,23480000.00
1962-11-30,Mead,storage,23252000.00
1962-12-31,Mead,storage,22980000.00
1963-01-31,Mead,storage,22679000.00
1963-02-28,Mead,storage,22497000.00
1963-03-31,Mead,storage,21867000.00
1963-04-30,Mead,storage,21062000.00
1963-05-31,Mead,storage,20201000.00
1963-06-30,Mead,storage,19538000.00
1963-07-31,Mead,storage,18695000.00
1963-08-31,Mead,storage,17935000.00
1963-09-30,Mead,storage,17373000.00
1963-10-31,Mead,storage,16905000.00
1963-11-30,Mead,storage,16515000.00
1963-12-31,Mead,storage,16007000.00
1964-01-31,Mead,storage,15441000.00
1964-02-29,Mead,storage,15081000.00
1964-03-31,Mead,storage,14607000.00
1964-04-30,Mead,storage,14561000.00
1964-05-31,Mead,storage,14138000.00
1964-06-30,Mead,storage,13445000.00
1964-07-31,Mead,storage,12602000.00
1964-08-31,Mead,storage,12101000.00
1964-09-30,Mead,storage,11628000.00
1964-10-31,Mead,storage,11319000.00
1964-11-30,Mead,storage,11218000.00
1964-12-31,Mead,storage,11133000.00
1965-01-31,Mead,storage,11279000.00
1965-02-28,Mead,storage,11352000.00
1965-03-31,Mead,storage,11148000.00
1965-04-30,Mead,storage,11726000.00
1965-05-31,Mead,storage,13218000.00
1965-06-30,Mead,storage,14798000.00
1965-07-31,Mead,storage,14660000.00
1965-08-31,Mead,storage,14662000.00
1965-09-30,Mead,storage,14708000.00
1965-10-31,Mead,storage,14824000.00
1965-11-30,Mead,storage,15040000.00
1965-12-31,Mead,storage,15233000.00
1966-01-31,Mead,storage,15502000.00
1966-02-28,Mead,storage,15589000.00
1966-03-31,Mead,storage,15502000.00
1966-04-30,Mead,storage,15492000.00
1966-05-31,Mead,storage,15592000.00
1966-06-30,Mead,storage,15552000.00
1966-07-31,Mead,storage,15295000.00
1966-08-31,Mead,storage,15069000.00
1966-09-30,Mead,storage,15004000.00
1966-10-31,Mead,storage,15092000.00
1966-11-30,Mead,storage,15231000.00
1966-12-31,Mead,storage,15481000.00
1967-01-31,Mead,storage,15629000.00
1967-02-28,Mead,storage,15617000.00
1967-03-31,Mead,storage,15438000.00
1967-04-30,Mead,storage,14530000.00
1967-05-31,Mead,storage,14506000.00
1967-06-30,Mead,storage,14395000.00
1967-07-31,Mead,storage,14233000.00
1967-08-31,Mead,storage,14196000.00
1967-09-30,Mead,storage,14375000.00
1967-10-31,Mead,storage,14219000.00
1967-11-30,Mead,storage,14122000.00
1967-12-31,Mead,storage,14338000.00
1968-01-31,Mead,storage,14566000.00
1968-02-29,Mead,storage,14614000.00
1968-03-31,Mead,storage,14640000.00
1968-04-30,Mead,storage,14780000.00
1968-05-31,Mead,storage,14887000.00
1968-06-30,Mead,storage,14996000.00
1968-07-31,Mead,storage,15052000.00
1968-08-31,Mead,storage,15065000.00
1968-09-30,Mead,storage,15018000.00
1968-10-31,Mead,storage,15125000.00
1968-11-30,Mead,storage,15292000.00
1968-12-31,Mead,storage,15355000.00
1969-01-31,Mead,storage,15441000.00
1969-02-28,Mead,storage,15464000.00
1969-03-31,Mead,storage,15386000.00
1969-04-30,Mead,storage,15476000.00
1969-05-31,Mead,storage,15526000.00
1969-06-30,Mead,storage,15583000.00
1969-07-31,Mead,storage,15747000.00
1969-08-31,Mead,storage,15962000.00
1969-09-30,Mead,storage,16131000.00
1969-10-31,Mead,storage,16171000.00
1969-11-30,Mead,storage,16446000.00
1969-12-31,Mead,storage,16760000.00
1970-01-31,Mead,storage,16890000.00
1970-02-28,Mead,storage,16853000.00
1970-03-31,Mead,storage,16597000.00
1970-04-30,Mead,storage,16568000.00
1970-05-31,Mead,storage,16576000.00
1970-06-30,Mead,storage,16560000.00
1970-07-31,Mead,storage,16538000.00
1970-08-31,Mead,storage,16628000.00
1970-09-30,Mead,storage,16769000.00
1970-10-31,Mead,storage,16677000.00
1970-11-30,Mead,storage,16675000.00
1970-12-31,Mead,storage,16811000.00
1971-01-31,Mead,storage,16801000.00
1971-02-28,Mead,storage,16523000.00
1971-03-31,Mead,storage,16289000.00
1971-04-30,Mead,storage,16326000.00
1971-05-31,Mead,storage,16374000.00
1971-06-30,Mead,storage,16462000.00
1971-07-31,Mead,storage,16615000.00
1971-08-31,Mead,storage,16799000.00
1971-09-30,Mead,storage,16886000.00
1971-10-31,Mead,storage,16976000.00
1971-11-30,Mead,storage,17258000.00
1971-12-31,Mead,storage,17645000.00
1972-01-31,Mead,storage,17901000.00
1972-02-29,Mead,storage,17741000.00
1972-03-31,Mead,storage,17174000.00
1972-04-30,Mead,storage,17015000.00
1972-05-31,Mead,storage,16970000.00
1972-06-30,Mead,storage,16999000.00
1972-07-31,Mead,storage,17027000.00
1972-08-31,Mead,storage,17193000.00
1972-09-30,Mead,storage,17451000.00
1972-10-31,Mead,storage,17819000.00
1972-11-30,Mead,storage,18088000.00
1972-12-31,Mead,storage,18645000.00
1973-01-31,Mead,storage,19200000.00
1973-02-28,Mead,storage,19453000.00
1973-03-31,Mead,storage,19980000.00
1973-04-30,Mead,storage,20966000.00
1973-05-31,Mead,storage,20937000.00
1973-06-30,Mead,storage,20993000.00
1973-07-31,Mead,storage,20796000.00
1973-08-31,Mead,storage,20445000.00
1973-09-30,Mead,storage,20176000.00
1973-10-31,Mead,storage,20071000.00
1973-11-30,Mead,storage,19970000.00
1973-12-31,Mead,storage,19737000.00
1974-01-31,Mead,storage,20160000.00
1974-02-28,Mead,storage,19888000.00
1974-03-31,Mead,storage,19482000.00
1974-04-30,Mead,storage,19022000.00
1974-05-31,Mead,storage,18811000.00
1974-06-30,Mead,storage,18801000.00
1974-07-31,Mead,storage,19088000.00
1974-08-31,Mead,storage,19270000.00
1974-09-30,Mead,storage,19358000.00
1974-10-31,Mead,storage,19338000.00
1974-11-30,Mead,storage,19575000.00
1974-12-31,Mead,storage,19721000.00
1975-01-31,Mead,storage,19975000.00
1975-02-28,Mead,storage,19928000.00
1975-03-31,Mead,storage,19764000.00
1975-04-30,Mead,storage,19383000.00
1975-05-31,Mead,storage,19316000.00
1975-06-30,Mead,storage,19421000.00
1975-07-31,Mead,storage,19743000.00
1975-08-31,Mead,storage,19899000.00
1975-09-30,Mead,storage,20154000.00
1975-10-31,Mead,storage,20196000.00
1975-11-30,Mead,storage,20094000.00
1975-12-31,Mead,storage,20092000.00
1976-01-31,Mead,storage,20265000.00
1976-02-29,Mead,storage,20528000.00
1976-03-31,Mead,storage,20307000.00
1976-04-30,Mead,storage,20099000.00
1976-05-31,Mead,storage,20193000.00
1976-06-30,Mead,storage,20164000.00
1976-07-31,Mead,storage,20082000.00
1976-08-31,Mead,storage,19818000.00
1976-09-30,Mead,storage,20022000.00
1976-10-31,Mead,storage,20429000.00
1976-11-30,Mead,storage,20939000.00
1976-12-31,Mead,storage,21203000.00
1977-01-31,Mead,storage,21918000.00
1977-02-28,Mead,storage,21773000.00
1977-03-31,Mead,storage,21360000.00
1977-04-30,Mead,storage,20555000.00
1977-05-31,Mead,storage,19987000.00
1977-06-30,Mead,storage,19638000.00
1977-07-31,Mead,storage,19532000.00
1977-08-31,Mead,storage,19796000.00
1977-09-30,Mead,storage,20205000.00
1977-10-31,Mead,storage,20189000.00
1977-11-30,Mead,storage,20048000.00
1977-12-31,Mead,storage,20250000.00
1978-01-31,Mead,storage,20959000.00
1978-02-28,Mead,storage,21169000.00
1978-03-31,Mead,storage,21281000.00
1978-04-30,Mead,storage,20966000.00
1978-05-31,Mead,storage,20754000.00
1978-06-30,Mead,storage,20778000.00
1978-07-31,Mead,storage,20583000.00
1978-08-31,Mead,storage,20641000.00
1978-09-30,Mead,storage,20869000.00
1978-10-31,Mead,storage,21041000.00
1978-11-30,Mead,storage,21321000.00
1978-12-31,Mead,storage,21960000.00
1979-01-31,Mead,storage,22747000.00
1979-02-28,Mead,storage,23297000.00
1979-03-31,Mead,storage,23067000.00
1979-04-30,Mead,storage,22918000.00
1979-05-31,Mead,storage,22563000.00
1979-06-30,Mead,storage,22270000.00
1979-07-31,Mead,storage,22179000.00
1979-08-31,Mead,storage,22300000.00
1979-09-30,Mead,storage,22242000.00
1979-10-31,Mead,storage,22216000.00
1979-11-30,Mead,storage,22433000.00
1979-12-31,Mead,storage,22623000.00
1980-01-31,Mead,storage,22770000.00
1980-02-29,Mead,storage,23520000.00
1980-03-31,Mead,storage,23335000.00
1980-04-30,Mead,storage,23198000.00
1980-05-31,Mead,storage,22906000.00
1980-06-30,Mead,storage,23247000.00
1980-07-31,Mead,storage,23597000.00
1980-08-31,Mead,storage,23586000.00
1980-09-30,Mead,storage,23637000.00
1980-10-31,Mead,storage,23385000.00
1980-11-30,Mead,storage,23454000.00
1980-12-31,Mead,storage,23336000.00
1981-01-31,Mead,storage,23439000.00
1981-02-28,Mead,storage,23547000.00
1981-03-31,Mead,storage,23229000.00
1981-04-30,Mead,storage,22691000.00
1981-05-31,Mead,storage,22373000.00
1981-06-30,Mead,storage,22015000.00
1981-07-31,Mead,storage,21900000.00
1981-08-31,Mead,storage,21886000.00
1981-09-30,Mead,storage,21870000.00
1981-10-31,Mead,storage,22073000.00
1981-11-30,Mead,storage,22259000.00
1981-12-31,Mead,storage,22668000.00
1982-01-31,Mead,storage,23083000.00
1982-02-28,Mead,storage,23264000.00
1982-03-31,Mead,storage,23064000.00
1982-04-30,Mead,storage,22671000.00
1982-05-31,Mead,storage,22474000.00
1982-06-30,Mead,storage,22401000.00
1982-07-31,Mead,storage,22410000.00
1982-08-31,Mead,storage,22540000.00
1982-09-30,Mead,storage,22766000.00
1982-10-31,Mead,storage,23070000.00
1982-11-30,Mead,storage,23613000.00
1982-12-31,Mead,storage,24151000.00
1983-01-31,Mead,storage,23921000.00
1983-02-28,Mead,storage,24435000.00
1983-03-31,Mead,storage,24638000.00
1983-04-30,Mead,storage,24588000.00
1983-05-31,Mead,storage,24751000.00
1983-06-30,Mead,storage,25981000.00
1983-07-31,Mead,storage,26802000.00
1983-08-31,Mead,storage,26281000.00
1983-09-30,Mead,storage,25658000.00
1983-10-31,Mead,storage,25210000.00
1983-11-30,Mead,storage,24911000.00
1983-12-31,Mead,storage,24751000.00
1984-01-31,Mead,storage,24370000.00
1984-02-29,Mead,storage,24046000.00
1984-03-31,Mead,storage,23804000.00
1984-04-30,Mead,storage,23784000.00
1984-05-31,Mead,storage,24358000.00
1984-06-30,Mead,storage,24726000.00
1984-07-31,Mead,storage,24841000.00
1984-08-31,Mead,storage,24609000.00
1984-09-30,Mead,storage,24406000.00
1984-10-31,Mead,storage,24190000.00
1984-11-30,Mead,storage,24139000.00
1984-12-31,Mead,storage,24081000.00
1985-01-31,Mead,storage,23938000.00
1985-02-28,Mead,storage,23898000.00
1985-03-31,Mead,storage,23861000.00
1985-04-30,Mead,storage,23821000.00
1985-05-31,Mead,storage,24371000.00
1985-06-30,Mead,storage,25045000.00
1985-07-31,Mead,storage,24999000.00
1985-08-31,Mead,storage,24821000.00
1985-09-30,Mead,storage,24875000.00
1985-10-31,Mead,storage,24573000.00
1985-11-30,Mead,storage,24210000.00
1985-12-31,Mead,storage,23721000.00
1986-01-31,Mead,storage,23147000.00
1986-02-28,Mead,storage,23313000.00
1986-03-31,Mead,storage,23273000.00
1986-04-30,Mead,storage,23616000.00
1986-05-31,Mead,storage,24120000.00
1986-06-30,Mead,storage,24416000.00
1986-07-31,Mead,storage,23967000.00
1986-08-31,Mead,storage,24024000.00
1986-09-30,Mead,storage,24220000.00
1986-10-31,Mead,storage,24201000.00
1986-11-30,Mead,storage,24362000.00
1986-12-31,Mead,storage,24456000.00
1987-01-31,Mead,storage,24432000.00
1987-02-28,Mead,storage,24485000.00
1987-03-31,Mead,storage,24181000.00
1987-04-30,Mead,storage,24046000.00
1987-05-31,Mead,storage,23795000.00
1987-06-30,Mead,storage,23886000.00
1987-07-31,Mead,storage,24066000.00
1987-08-31,Mead,storage,24330000.00
1987-09-30,Mead,storage,24365000.00
1987-10-31,Mead,storage,24199000.00
1987-11-30,Mead,storage,24404000.00
1987-12-31,Mead,storage,24553000.00
1988-01-31,Mead,storage,24574000.00
1988-02-29,Mead,storage,24655000.00
1988-03-31,Mead,storage,24509000.00
1988-04-30,Mead,storage,24150000.00
1988-05-31,Mead,storage,23831000.00
1988-06-30,Mead,storage,23380000.00
1988-07-31,Mead,storage,23124000.00
1988-08-31,Mead,storage,22854000.00
1988-09-30,Mead,storage,22795000.00
1988-10-31,Mead,storage,22793000.00
1988-11-30,Mead,storage,22838000.00
1988-12-31,Mead,storage,22880000.00
1989-01-31,Mead,storage,23120000.00
1989-02-28,Mead,storage,23279000.00
1989-03-31,Mead,storage,22957000.00
1989-04-30,Mead,storage,22534000.00
1989-05-31,Mead,storage,21859000.00
1989-06-30,Mead,storage,21553000.00
1989-07-31,Mead,storage,21458000.00
1989-08-31,Mead,storage,21414000.00
1989-09-30,Mead,storage,21528000.00
1989-10-31,Mead,storage,21435000.00
1989-11-30,Mead,storage,21361000.00
1989-12-31,Mead,storage,21469000.00
1990-01-31,Mead,storage,21636000.00
1990-02-28,Mead,storage,21741000.00
1990-03-31,Mead,storage,21436000.00
1990-04-30,Mead,storage,21068000.00
1990-05-31,Mead,storage,20666000.00
1990-06-30,Mead,storage,20415000.00
1990-07-31,Mead,storage,20074000.00
1990-08-31,Mead,storage,19986000.00
1990-09-30,Mead,storage,20144000.00
1990-10-31,Mead,storage,19996000.00
1990-11-30,Mead,storage,19949000.00
1990-12-31,Mead,storage,19864000.00
1991-01-31,Mead,storage,20061000.00
1991-02-28,Mead,storage,20149000.00
1991-03-31,Mead,storage,20050000.00
1991-04-30,Mead,storage,19852000.00
1991-05-31,Mead,storage,19607000.00
1991-06-30,Mead,storage,19446000.00
1991-07-31,Mead,storage,19269000.00
1991-08-31,Mead,storage,19221000.00
1991-09-30,Mead,storage,19233000.00
1991-10-31,Mead,storage,19070000.00
1991-11-30,Mead,storage,19081000.00
1991-12-31,Mead,storage,19288000.00
1992-01-31,Mead,storage,19780000.00
1992-02-29,Mead,storage,20065000.00
1992-03-31,Mead,storage,20182000.00
1992-04-30,Mead,storage,20112000.00
1992-05-31,Mead,storage,19788000.00
1992-06-30,Mead,storage,19497000.00
1992-07-31,Mead,storage,19349000.00
1992-08-31,Mead,storage,19307000.00
1992-09-30,Mead,storage,19416000.00
1992-10-31,Mead,storage,19447000.00
1992-11-30,Mead,storage,19546000.00
1992-12-31,Mead,storage,19729000.00
1993-01-31,Mead,storage,20627000.00
1993-02-28,Mead,storage,21515000.00
1993-03-31,Mead,storage,21981000.00
1993-04-30,Mead,storage,21922000.00
1993-05-31,Mead,storage,21521000.00
1993-06-30,Mead,storage,21258000.00
1993-07-31,Mead,storage,21111000.00
1993-08-31,Mead,storage,21277000.00
1993-09-30,Mead,storage,21379000.00
1993-10-31,Mead,storage,21228000.00
1993-11-30,Mead,storage,21283000.00
1993-12-31,Mead,storage,21324000.00
1994-01-31,Mead,storage,21510000.00
1994-02-28,Mead,storage,21632000.00
1994-03-31,Mead,storage,21291000.00
1994-04-30,Mead,storage,20803000.00
1994-05-31,Mead,storage,20359000.00
1994-06-30,Mead,storage,20065000.00
1994-07-31,Mead,storage,20005000.00
1994-08-31,Mead,storage,19909000.00
1994-09-30,Mead,storage,19930400.39
1994-10-31,Mead,storage,19852000.00
1994-11-30,Mead,storage,19577000.00
1994-12-31,Mead,storage,19689000.00
1995-01-31,Mead,storage,20190208.98
1995-02-28,Mead,storage,20484714.84
1995-03-31,Mead,storage,20443183.59
1995-04-30,Mead,storage,20098767.58
1995-05-31,Mead,storage,19921000.00
1995-06-30,Mead,storage,20012964.84
