Object.Name,Slot.Name,units,Timestep,Value,Model,RunType
Mead,Pool Elevation,ft,2015/5/31,1076.57,June Most Probable,0
Mead,Pool Elevation,ft,2015/6/30,1074.73,June Most Probable,0
Mead,Pool Elevation,ft,2015/7/31,1075.93,June Most Probable,0
Mead,Pool Elevation,ft,2015/8/31,1076.59,June Most Probable,0
Mead,Pool Elevation,ft,2015/9/30,1076.6,June Most Probable,0
Mead,Pool Elevation,ft,2015/10/31,1078.05,June Most Probable,0
Mead,Pool Elevation,ft,2015/11/30,1078.1,June Most Probable,0
Mead,Pool Elevation,ft,2015/12/31,1081.58,June Most Probable,0
Mead,Pool Elevation,ft,2016/1/31,1083.03,June Most Probable,0
Mead,Pool Elevation,ft,2016/2/29,1083.7,June Most Probable,0
Mead,Pool Elevation,ft,2016/3/31,1079.54,June Most Probable,0
Mead,Pool Elevation,ft,2016/4/30,1074.04,June Most Probable,0
Mead,Pool Elevation,ft,2016/5/31,1069.63,June Most Probable,0
Mead,Pool Elevation,ft,2016/6/30,1067.45,June Most Probable,0
Mead,Pool Elevation,ft,2016/7/31,1068.56,June Most Probable,0
Mead,Pool Elevation,ft,2016/8/31,1072,June Most Probable,0
Mead,Pool Elevation,ft,2016/9/30,1073.31,June Most Probable,0
Mead,Pool Elevation,ft,2016/10/31,1074.65,June Most Probable,0
Mead,Pool Elevation,ft,2016/11/30,1074.21,June Most Probable,0
Mead,Pool Elevation,ft,2016/12/31,1077.59,June Most Probable,0
Mead,Pool Elevation,ft,2017/1/31,1079.07,June Most Probable,0
Mead,Pool Elevation,ft,2017/2/28,1079.8,June Most Probable,0
Mead,Pool Elevation,ft,2017/3/31,1075.57,June Most Probable,0
Mead,Pool Elevation,ft,2017/4/30,1069.98,June Most Probable,0
Mead,Pool Elevation,ft,2017/5/31,1065.51,June Most Probable,0
Mead,Pool Elevation,ft,2017/6/30,1063.3,June Most Probable,0
Mead,Pool Elevation,ft,2017/7/31,1064.44,June Most Probable,0
Mead,Pool Elevation,ft,2017/8/31,1067.97,June Most Probable,0
Mead,Pool Elevation,ft,2017/9/30,1069.3,June Most Probable,0
Mead,Pool Elevation,ft,2015/3/31,1084.87,April Min Probable,1
Mead,Pool Elevation,ft,2015/4/30,1079.75447,April Min Probable,1
Mead,Pool Elevation,ft,2015/5/31,1075.81278,April Min Probable,1
Mead,Pool Elevation,ft,2015/6/30,1074.08503,April Min Probable,1
Mead,Pool Elevation,ft,2015/7/31,1075.84579,April Min Probable,1
Mead,Pool Elevation,ft,2015/8/31,1076.16417,April Min Probable,1
Mead,Pool Elevation,ft,2015/9/30,1076.33819,April Min Probable,1
Mead,Pool Elevation,ft,2015/10/31,1077.89182,April Min Probable,1
Mead,Pool Elevation,ft,2015/11/30,1078.13999,April Min Probable,1
Mead,Pool Elevation,ft,2015/12/31,1081.47793,April Min Probable,1
Mead,Pool Elevation,ft,2016/1/31,1083.15486,April Min Probable,1
Mead,Pool Elevation,ft,2016/2/29,1084.05942,April Min Probable,1
Mead,Pool Elevation,ft,2016/3/31,1080.22226,April Min Probable,1
Mead,Pool Elevation,ft,2016/4/30,1075.57667,April Min Probable,1
Mead,Pool Elevation,ft,2016/5/31,1071.77226,April Min Probable,1
Mead,Pool Elevation,ft,2016/6/30,1069.81416,April Min Probable,1
Mead,Pool Elevation,ft,2016/7/31,1071.10867,April Min Probable,1
Mead,Pool Elevation,ft,2016/8/31,1074.67798,April Min Probable,1
Mead,Pool Elevation,ft,2016/9/30,1076.37489,April Min Probable,1
Mead,Pool Elevation,ft,2016/10/31,1077.86684,April Min Probable,1
Mead,Pool Elevation,ft,2016/11/30,1077.60762,April Min Probable,1
Mead,Pool Elevation,ft,2016/12/31,1081.10772,April Min Probable,1
Mead,Pool Elevation,ft,2017/1/31,1084.42099,April Min Probable,1
Mead,Pool Elevation,ft,2017/2/28,1085.83171,April Min Probable,1
Mead,Pool Elevation,ft,2017/3/31,1082.44496,April Min Probable,1
Mead,Pool Elevation,ft,2017/4/30,1080.60906,April Min Probable,1
Mead,Pool Elevation,ft,2017/5/31,1081.61285,April Min Probable,1
Mead,Pool Elevation,ft,2017/6/30,1084.19411,April Min Probable,1
Mead,Pool Elevation,ft,2017/7/31,1088.65752,April Min Probable,1
Mead,Pool Elevation,ft,2017/8/31,1094.62191,April Min Probable,1
Mead,Pool Elevation,ft,2017/9/30,1098.61104,April Min Probable,1
Mead,Pool Elevation,ft,2015/3/31,1084.87,April Max Probable,2
Mead,Pool Elevation,ft,2015/4/30,1078.82283,April Max Probable,2
Mead,Pool Elevation,ft,2015/5/31,1074.15553,April Max Probable,2
Mead,Pool Elevation,ft,2015/6/30,1071.96461,April Max Probable,2
Mead,Pool Elevation,ft,2015/7/31,1073.39839,April Max Probable,2
Mead,Pool Elevation,ft,2015/8/31,1073.81262,April Max Probable,2
Mead,Pool Elevation,ft,2015/9/30,1073.12753,April Max Probable,2
Mead,Pool Elevation,ft,2015/10/31,1073.26268,April Max Probable,2
Mead,Pool Elevation,ft,2015/11/30,1072.14346,April Max Probable,2
Mead,Pool Elevation,ft,2015/12/31,1073.00383,April Max Probable,2
Mead,Pool Elevation,ft,2016/1/31,1074.77959,April Max Probable,2
Mead,Pool Elevation,ft,2016/2/29,1075.27084,April Max Probable,2
Mead,Pool Elevation,ft,2016/3/31,1070.6669,April Max Probable,2
Mead,Pool Elevation,ft,2016/4/30,1063.75675,April Max Probable,2
Mead,Pool Elevation,ft,2016/5/31,1058.55804,April Max Probable,2
Mead,Pool Elevation,ft,2016/6/30,1053.96114,April Max Probable,2
Mead,Pool Elevation,ft,2016/7/31,1053.00064,April Max Probable,2
Mead,Pool Elevation,ft,2016/8/31,1053.98307,April Max Probable,2
Mead,Pool Elevation,ft,2016/9/30,1053.23079,April Max Probable,2
Mead,Pool Elevation,ft,2016/10/31,1053.5873,April Max Probable,2
Mead,Pool Elevation,ft,2016/11/30,1052.24812,April Max Probable,2
Mead,Pool Elevation,ft,2016/12/31,1053.8556,April Max Probable,2
Mead,Pool Elevation,ft,2017/1/31,1055.9248,April Max Probable,2
Mead,Pool Elevation,ft,2017/2/28,1056.49995,April Max Probable,2
Mead,Pool Elevation,ft,2017/3/31,1051.62447,April Max Probable,2
Mead,Pool Elevation,ft,2017/4/30,1044.50221,April Max Probable,2
Mead,Pool Elevation,ft,2017/5/31,1039.24681,April Max Probable,2
Mead,Pool Elevation,ft,2017/6/30,1034.43788,April Max Probable,2
Mead,Pool Elevation,ft,2017/7/31,1033.51686,April Max Probable,2
Mead,Pool Elevation,ft,2017/8/31,1034.63799,April Max Probable,2
Mead,Pool Elevation,ft,2017/9/30,1033.91161,April Max Probable,2
