Year,State,PlotCategory,Basin,SumOfDepletion_kafy
1948,AllLower,All,Lower Basin,3874.713
1948,AllUpper,All,Upper Basin,2362.158692
1948,Mexico,Unassigned,Lower Basin,1500
1948,Misc,Reservoir Evaporation,Lower Basin,1047.813453
1949,AllLower,All,Lower Basin,4172.985
1949,AllUpper,All,Upper Basin,2243.610231
1949,Mexico,Unassigned,Lower Basin,1500
1949,Misc,Reservoir Evaporation,Lower Basin,1043.026859
1950,AllLower,All,Lower Basin,4635.66
1950,AllUpper,All,Upper Basin,2332.831769
1950,Mexico,Unassigned,Lower Basin,1500
1950,Misc,Reservoir Evaporation,Lower Basin,982.8217656
1951,AllLower,All,Lower Basin,4940.634
1951,AllUpper,All,Upper Basin,2424.064108
1951,Mexico,Unassigned,Lower Basin,1500
1951,Misc,Reservoir Evaporation,Lower Basin,1133.486703
1952,AllLower,All,Lower Basin,5183.069
1952,AllUpper,All,Upper Basin,2557.539846
1952,Mexico,Unassigned,Lower Basin,1500
1952,Misc,Reservoir Evaporation,Lower Basin,1213.957844
1953,AllLower,All,Lower Basin,5476.325
1953,AllUpper,All,Upper Basin,2570.763385
1953,Mexico,Unassigned,Lower Basin,1500
1953,Misc,Reservoir Evaporation,Lower Basin,1132.938734
1954,AllLower,All,Lower Basin,5565.277
1954,AllUpper,All,Upper Basin,2621.937923
1954,Mexico,Unassigned,Lower Basin,1500
1954,Misc,Reservoir Evaporation,Lower Basin,1012.469922
1955,AllLower,All,Lower Basin,5506.637
1955,AllUpper,All,Upper Basin,2530.298062
1955,Mexico,Unassigned,Lower Basin,1500
1955,Misc,Reservoir Evaporation,Lower Basin,930.4205469
1956,AllLower,All,Lower Basin,5616.254
1956,AllUpper,All,Upper Basin,2817.785
1956,Mexico,Unassigned,Lower Basin,1500
1956,Misc,Reservoir Evaporation,Lower Basin,943.3283906
1957,AllLower,All,Lower Basin,5452.712
1957,AllUpper,All,Upper Basin,2322.531838
1957,Mexico,Unassigned,Lower Basin,1500
1957,Misc,Reservoir Evaporation,Lower Basin,1127.32975
1958,AllLower,All,Lower Basin,5425.948
1958,AllUpper,All,Upper Basin,2862.610677
1958,Mexico,Unassigned,Lower Basin,1500
1958,Misc,Reservoir Evaporation,Lower Basin,1267.140625
1959,AllLower,All,Lower Basin,5777.912
1959,AllUpper,All,Upper Basin,2604.505115
1959,Mexico,Unassigned,Lower Basin,1500
1959,Misc,Reservoir Evaporation,Lower Basin,1208.221984
1960,AllLower,All,Lower Basin,6102.348
1960,AllUpper,All,Upper Basin,2767.810654
1960,Mexico,Unassigned,Lower Basin,1500
1960,Misc,Reservoir Evaporation,Lower Basin,1195.994859
1961,AllLower,All,Lower Basin,6198.165
1961,AllUpper,All,Upper Basin,2509.618792
1961,Mexico,Unassigned,Lower Basin,1500
1961,Misc,Reservoir Evaporation,Lower Basin,1133.330078
1962,AllLower,All,Lower Basin,6225.995
1962,AllUpper,All,Upper Basin,2880.186431
1962,Mexico,Unassigned,Lower Basin,1500
1962,Misc,Reservoir Evaporation,Lower Basin,1260.362047
1963,AllLower,All,Lower Basin,6277.63
1963,AllUpper,All,Upper Basin,2718.241769
1963,Colorado,Reservoir Evaporation,Upper Basin,11.14676696
1963,Mexico,Unassigned,Lower Basin,1500
1963,Misc,Reservoir Evaporation,Lower Basin,1152.058813
1963,New Mexico,Reservoir Evaporation,Upper Basin,2.423210209
1963,Utah,Reservoir Evaporation,Upper Basin,4.954118649
1963,Wyoming,Reservoir Evaporation,Upper Basin,3.015550482
1964,AllLower,All,Lower Basin,6217.165
1964,AllUpper,All,Upper Basin,2738.918308
1964,Colorado,Reservoir Evaporation,Upper Basin,78.82770234
1964,Mexico,Unassigned,Lower Basin,1500
1964,Misc,Fish and Wildlife and Recreation,Lower Basin,609.6919165
1964,Misc,Reservoir Evaporation,Lower Basin,955.0452813
1964,New Mexico,Reservoir Evaporation,Upper Basin,17.13645703
1964,Utah,Reservoir Evaporation,Upper Basin,35.03453438
1964,Wyoming,Reservoir Evaporation,Upper Basin,21.32536875
1965,AllLower,All,Lower Basin,5931.234
1965,AllUpper,All,Upper Basin,2431.817846
1965,Colorado,Reservoir Evaporation,Upper Basin,118.6450721
1965,Mexico,Unassigned,Lower Basin,1500
1965,Misc,Fish and Wildlife and Recreation,Lower Basin,575.8625697
1965,Misc,Reservoir Evaporation,Lower Basin,983.6189219
1965,Misc,Unassigned,Lower Basin,187.661
1965,New Mexico,Reservoir Evaporation,Upper Basin,25.79240698
1965,Utah,Reservoir Evaporation,Upper Basin,52.73114316
1965,Wyoming,Reservoir Evaporation,Upper Basin,32.09721758
1966,AllLower,All,Lower Basin,6196.623
1966,AllUpper,All,Upper Basin,2873.962585
1966,Colorado,Reservoir Evaporation,Upper Basin,147.0505238
1966,Mexico,Unassigned,Lower Basin,1500
1966,Misc,Fish and Wildlife and Recreation,Lower Basin,596.4147262
1966,Misc,Reservoir Evaporation,Lower Basin,1025.028422
1966,Misc,Unassigned,Lower Basin,74.34803846
1966,New Mexico,Reservoir Evaporation,Upper Basin,31.96750518
1966,Utah,Reservoir Evaporation,Upper Basin,65.35578836
1966,Wyoming,Reservoir Evaporation,Upper Basin,39.78178422
1967,AllLower,All,Lower Basin,6020.818
1967,AllUpper,All,Upper Basin,2616.472723
1967,Colorado,Reservoir Evaporation,Upper Basin,137.7784862
1967,Mexico,Unassigned,Lower Basin,1500
1967,Misc,Fish and Wildlife and Recreation,Lower Basin,558.2499677
1967,Misc,Reservoir Evaporation,Lower Basin,1002.859938
1967,Misc,Unassigned,Lower Basin,58.977
1967,New Mexico,Reservoir Evaporation,Upper Basin,29.95184482
1967,Utah,Reservoir Evaporation,Upper Basin,61.23488274
1967,Wyoming,Reservoir Evaporation,Upper Basin,37.27340688
1968,AllLower,All,Lower Basin,6261.687
1968,AllUpper,All,Upper Basin,2666.184462
1968,Colorado,Reservoir Evaporation,Upper Basin,148.2022625
1968,Mexico,Unassigned,Lower Basin,1500
1968,Misc,Fish and Wildlife and Recreation,Lower Basin,534.83156
1968,Misc,Reservoir Evaporation,Lower Basin,1013.810234
1968,Misc,Unassigned,Lower Basin,62.737
1968,New Mexico,Reservoir Evaporation,Upper Basin,32.21788315
1968,Utah,Reservoir Evaporation,Upper Basin,65.86767223
1968,Wyoming,Reservoir Evaporation,Upper Basin,40.0933657
1969,AllLower,All,Lower Basin,6072.004
1969,AllUpper,All,Upper Basin,2776.1451
1969,Colorado,Reservoir Evaporation,Upper Basin,180.836233
1969,Mexico,Unassigned,Lower Basin,1500
1969,Misc,Fish and Wildlife and Recreation,Lower Basin,530.9518453
1969,Misc,Reservoir Evaporation,Lower Basin,1045.631844
1969,Misc,Unassigned,Lower Basin,65.784
1969,New Mexico,Reservoir Evaporation,Upper Basin,39.31222456
1969,Utah,Reservoir Evaporation,Upper Basin,80.3716591
1969,Wyoming,Reservoir Evaporation,Upper Basin,48.92187945
1970,AllLower,All,Lower Basin,6254.767
1970,AllUpper,All,Upper Basin,2936.847538
1970,Colorado,Reservoir Evaporation,Upper Basin,206.1263428
1970,Mexico,Unassigned,Lower Basin,1500
1970,Misc,Fish and Wildlife and Recreation,Lower Basin,494.2443766
1970,Misc,Reservoir Evaporation,Lower Basin,1074.201922
1970,Misc,Unassigned,Lower Basin,83.186
1970,New Mexico,Reservoir Evaporation,Upper Basin,44.81007451
1970,Utah,Reservoir Evaporation,Upper Basin,91.61170789
1970,Wyoming,Reservoir Evaporation,Upper Basin,55.76364828
1971,Arizona,Agricultural,Lower Basin,1245.621
1971,Arizona,Agricultural,Upper Basin,2.5
1971,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1971,Arizona,CAP M&I Recharge,Lower Basin,0
1971,Arizona,CAP Tribes,Lower Basin,0
1971,Arizona,Energy,Lower Basin,0.695
1971,Arizona,Energy,Upper Basin,0
1971,Arizona,Export,Upper Basin,0
1971,Arizona,Fish and Wildlife and Recreation,Lower Basin,32.774
1971,Arizona,Minerals,Lower Basin,0
1971,Arizona,Minerals,Upper Basin,0
1971,Arizona,Municipal and Industrial,Lower Basin,17.84
1971,Arizona,Municipal and Industrial,Upper Basin,2.9
1971,Arizona,Reservoir Evaporation,Upper Basin,5.7
1971,California,Agricultural,Lower Basin,3971.8566
1971,California,Fish and Wildlife and Recreation,Lower Basin,0
1971,California,Municipal and Industrial,Lower Basin,1244.4224
1971,Colorado,Agricultural,Upper Basin,1519.795385
1971,Colorado,Energy,Upper Basin,4.959
1971,Colorado,Minerals,Upper Basin,17.94
1971,Colorado,Municipal and Industrial,Upper Basin,234.6570074
1971,Colorado,Reservoir Evaporation,Upper Basin,315.4129409
1971,Mexico,Unassigned,Lower Basin,1500
1971,Misc,,Lower Basin,55.208
1971,Misc,Fish and Wildlife and Recreation,Lower Basin,451.9307356
1971,Misc,Reservoir Evaporation,Lower Basin,1079.008563
1971,Misc,Unassigned,Lower Basin,6.414
1971,Nevada,Agricultural,Lower Basin,0.043
1971,Nevada,Energy,Lower Basin,5.446
1971,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.802
1971,Nevada,Municipal and Industrial,Lower Basin,44.295
1971,New Mexico,Agricultural,Upper Basin,102.4013666
1971,New Mexico,Energy,Upper Basin,15.794604
1971,New Mexico,Fish and Wildlife and Recreation,Upper Basin,3.652436054
1971,New Mexico,Minerals,Upper Basin,2.44
1971,New Mexico,Municipal and Industrial,Upper Basin,39.10948356
1971,New Mexico,Reservoir Evaporation,Upper Basin,81.927831
1971,Utah,Agricultural,Upper Basin,673.3845997
1971,Utah,Energy,Upper Basin,1.872
1971,Utah,Minerals,Upper Basin,9.76
1971,Utah,Municipal and Industrial,Upper Basin,21.964
1971,Utah,Reservoir Evaporation,Upper Basin,169.2036282
1971,Wyoming,Agricultural,Upper Basin,313.9043397
1971,Wyoming,Energy,Upper Basin,5.7
1971,Wyoming,Minerals,Upper Basin,11.08
1971,Wyoming,Municipal and Industrial,Upper Basin,7.796
1971,Wyoming,Reservoir Evaporation,Upper Basin,95.62275451
1972,Arizona,Agricultural,Lower Basin,1145.194
1972,Arizona,Agricultural,Upper Basin,2.9
1972,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1972,Arizona,CAP M&I Recharge,Lower Basin,0
1972,Arizona,CAP Tribes,Lower Basin,0
1972,Arizona,Energy,Lower Basin,1.072
1972,Arizona,Energy,Upper Basin,0
1972,Arizona,Export,Upper Basin,0
1972,Arizona,Fish and Wildlife and Recreation,Lower Basin,36.206
1972,Arizona,Minerals,Lower Basin,0
1972,Arizona,Minerals,Upper Basin,0
1972,Arizona,Municipal and Industrial,Lower Basin,20.571
1972,Arizona,Municipal and Industrial,Upper Basin,3.6
1972,Arizona,Reservoir Evaporation,Upper Basin,5.7
1972,California,Agricultural,Lower Basin,3985.564
1972,California,Fish and Wildlife and Recreation,Lower Basin,0
1972,California,Municipal and Industrial,Lower Basin,1245.071
1972,Colorado,Agricultural,Upper Basin,1540.935637
1972,Colorado,Energy,Upper Basin,4.959
1972,Colorado,Minerals,Upper Basin,18.11
1972,Colorado,Municipal and Industrial,Upper Basin,273.4818065
1972,Colorado,Reservoir Evaporation,Upper Basin,314.8373345
1972,Mexico,Unassigned,Lower Basin,1500
1972,Misc,,Lower Basin,86.304
1972,Misc,Fish and Wildlife and Recreation,Lower Basin,449.2814874
1972,Misc,Reservoir Evaporation,Lower Basin,1105.229156
1972,Misc,Unassigned,Lower Basin,26.234
1972,Nevada,Agricultural,Lower Basin,0.061
1972,Nevada,Energy,Lower Basin,11.169
1972,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.903
1972,Nevada,Municipal and Industrial,Lower Basin,68.918
1972,New Mexico,Agricultural,Upper Basin,113.8628497
1972,New Mexico,Energy,Upper Basin,17.3794735
1972,New Mexico,Fish and Wildlife and Recreation,Upper Basin,3.492601949
1972,New Mexico,Minerals,Upper Basin,2.58
1972,New Mexico,Municipal and Industrial,Upper Basin,37.76868279
1972,New Mexico,Reservoir Evaporation,Upper Basin,81.92304963
1972,Utah,Agricultural,Upper Basin,690.5454828
1972,Utah,Energy,Upper Basin,1.696
1972,Utah,Minerals,Upper Basin,9.82
1972,Utah,Municipal and Industrial,Upper Basin,23.158
1972,Utah,Reservoir Evaporation,Upper Basin,172.3610174
1972,Wyoming,Agricultural,Upper Basin,295.683833
1972,Wyoming,Energy,Upper Basin,4.47
1972,Wyoming,Minerals,Upper Basin,11.96
1972,Wyoming,Municipal and Industrial,Upper Basin,10.593
1972,Wyoming,Reservoir Evaporation,Upper Basin,99.24260429
1973,Arizona,Agricultural,Lower Basin,1205.348
1973,Arizona,Agricultural,Upper Basin,4
1973,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1973,Arizona,CAP M&I Recharge,Lower Basin,0
1973,Arizona,CAP Tribes,Lower Basin,0
1973,Arizona,Energy,Lower Basin,1.138
1973,Arizona,Energy,Upper Basin,0
1973,Arizona,Export,Upper Basin,0
1973,Arizona,Fish and Wildlife and Recreation,Lower Basin,41.386
1973,Arizona,Minerals,Lower Basin,0
1973,Arizona,Minerals,Upper Basin,0
1973,Arizona,Municipal and Industrial,Lower Basin,20.872
1973,Arizona,Municipal and Industrial,Upper Basin,3.2
1973,Arizona,Reservoir Evaporation,Upper Basin,4.2
1973,California,Agricultural,Lower Basin,4117.17
1973,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1973,California,Municipal and Industrial,Lower Basin,1200.362
1973,Colorado,Agricultural,Upper Basin,1345.399365
1973,Colorado,Energy,Upper Basin,4.959
1973,Colorado,Minerals,Upper Basin,18.29
1973,Colorado,Municipal and Industrial,Upper Basin,227.1131788
1973,Colorado,Reservoir Evaporation,Upper Basin,342.0756975
1973,Mexico,Unassigned,Lower Basin,1500
1973,Misc,,Lower Basin,119.139
1973,Misc,Fish and Wildlife and Recreation,Lower Basin,415.8262891
1973,Misc,Reservoir Evaporation,Lower Basin,1204.390125
1973,Misc,Unassigned,Lower Basin,74.34803846
1973,Nevada,Agricultural,Lower Basin,0.076
1973,Nevada,Energy,Lower Basin,12.188
1973,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.833
1973,Nevada,Municipal and Industrial,Lower Basin,79.552
1973,New Mexico,Agricultural,Upper Basin,135.1272595
1973,New Mexico,Energy,Upper Basin,26.055224
1973,New Mexico,Fish and Wildlife and Recreation,Upper Basin,9.221761097
1973,New Mexico,Minerals,Upper Basin,2.72
1973,New Mexico,Municipal and Industrial,Upper Basin,93.19777698
1973,New Mexico,Reservoir Evaporation,Upper Basin,105.7709553
1973,Utah,Agricultural,Upper Basin,673.3136367
1973,Utah,Energy,Upper Basin,1.912
1973,Utah,Minerals,Upper Basin,9.88
1973,Utah,Municipal and Industrial,Upper Basin,22.579
1973,Utah,Reservoir Evaporation,Upper Basin,182.998093
1973,Wyoming,Agricultural,Upper Basin,284.6298194
1973,Wyoming,Energy,Upper Basin,7.65
1973,Wyoming,Minerals,Upper Basin,12.84
1973,Wyoming,Municipal and Industrial,Upper Basin,11.624
1973,Wyoming,Reservoir Evaporation,Upper Basin,106.9579924
1974,Arizona,Agricultural,Lower Basin,1269.577
1974,Arizona,Agricultural,Upper Basin,4.25
1974,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1974,Arizona,CAP M&I Recharge,Lower Basin,0
1974,Arizona,CAP Tribes,Lower Basin,0
1974,Arizona,Energy,Lower Basin,1.207
1974,Arizona,Energy,Upper Basin,5.269
1974,Arizona,Export,Upper Basin,0
1974,Arizona,Fish and Wildlife and Recreation,Lower Basin,32.392
1974,Arizona,Minerals,Lower Basin,0
1974,Arizona,Minerals,Upper Basin,0
1974,Arizona,Municipal and Industrial,Lower Basin,22.455
1974,Arizona,Municipal and Industrial,Upper Basin,3.7
1974,Arizona,Reservoir Evaporation,Upper Basin,5.906
1974,California,Agricultural,Lower Basin,4260.9312
1974,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1974,California,Municipal and Industrial,Lower Basin,1153.0938
1974,Colorado,Agricultural,Upper Basin,1608.109056
1974,Colorado,Energy,Upper Basin,2.904
1974,Colorado,Minerals,Upper Basin,18.46
1974,Colorado,Municipal and Industrial,Upper Basin,297.2620494
1974,Colorado,Reservoir Evaporation,Upper Basin,391.8279944
1974,Mexico,Unassigned,Lower Basin,1500
1974,Misc,,Lower Basin,159.185
1974,Misc,Fish and Wildlife and Recreation,Lower Basin,403.2177382
1974,Misc,Reservoir Evaporation,Lower Basin,1169.423609
1974,Misc,Unassigned,Lower Basin,6.173
1974,Nevada,Agricultural,Lower Basin,0.057
1974,Nevada,Energy,Lower Basin,13.44
1974,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.815
1974,Nevada,Municipal and Industrial,Lower Basin,80.557
1974,New Mexico,Agricultural,Upper Basin,115.0518039
1974,New Mexico,Energy,Upper Basin,23.44310379
1974,New Mexico,Fish and Wildlife and Recreation,Upper Basin,2.840490798
1974,New Mexico,Minerals,Upper Basin,2.86
1974,New Mexico,Municipal and Industrial,Upper Basin,31.88233129
1974,New Mexico,Reservoir Evaporation,Upper Basin,98.57631621
1974,Utah,Agricultural,Upper Basin,699.7057088
1974,Utah,Energy,Upper Basin,1.832
1974,Utah,Minerals,Upper Basin,9.94
1974,Utah,Municipal and Industrial,Upper Basin,19.838
1974,Utah,Reservoir Evaporation,Upper Basin,217.767774
1974,Wyoming,Agricultural,Upper Basin,348.6023533
1974,Wyoming,Energy,Upper Basin,10.101
1974,Wyoming,Minerals,Upper Basin,13.72
1974,Wyoming,Municipal and Industrial,Upper Basin,10.665
1974,Wyoming,Reservoir Evaporation,Upper Basin,119.4513214
1975,Arizona,Agricultural,Lower Basin,1304.907
1975,Arizona,Agricultural,Upper Basin,3.54
1975,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1975,Arizona,CAP M&I Recharge,Lower Basin,0
1975,Arizona,CAP Tribes,Lower Basin,0
1975,Arizona,Energy,Lower Basin,1.018
1975,Arizona,Energy,Upper Basin,12.414
1975,Arizona,Export,Upper Basin,0
1975,Arizona,Fish and Wildlife and Recreation,Lower Basin,34.219
1975,Arizona,Minerals,Lower Basin,0
1975,Arizona,Minerals,Upper Basin,0
1975,Arizona,Municipal and Industrial,Lower Basin,17.859
1975,Arizona,Municipal and Industrial,Upper Basin,2.9
1975,Arizona,Reservoir Evaporation,Upper Basin,4.82
1975,California,Agricultural,Lower Basin,4173.9636
1975,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1975,California,Municipal and Industrial,Lower Basin,809.7264
1975,Colorado,Agricultural,Upper Basin,1519.689682
1975,Colorado,Energy,Upper Basin,3.773
1975,Colorado,Minerals,Upper Basin,18.63
1975,Colorado,Municipal and Industrial,Upper Basin,317.6955662
1975,Colorado,Reservoir Evaporation,Upper Basin,398.1512962
1975,Mexico,Unassigned,Lower Basin,1500
1975,Misc,,Lower Basin,214.729
1975,Misc,Fish and Wildlife and Recreation,Lower Basin,351.4807795
1975,Misc,Reservoir Evaporation,Lower Basin,1186.922797
1975,Misc,Unassigned,Lower Basin,12.844
1975,Nevada,Agricultural,Lower Basin,0.028
1975,Nevada,Energy,Lower Basin,14.422
1975,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.83
1975,Nevada,Municipal and Industrial,Lower Basin,56.86
1975,New Mexico,Agricultural,Upper Basin,132.819729
1975,New Mexico,Energy,Upper Basin,25.27494646
1975,New Mexico,Fish and Wildlife and Recreation,Upper Basin,8.725490196
1975,New Mexico,Minerals,Upper Basin,3
1975,New Mexico,Municipal and Industrial,Upper Basin,88.91372549
1975,New Mexico,Reservoir Evaporation,Upper Basin,115.177018
1975,Utah,Agricultural,Upper Basin,572.5419087
1975,Utah,Energy,Upper Basin,6.996
1975,Utah,Minerals,Upper Basin,10
1975,Utah,Municipal and Industrial,Upper Basin,21.236
1975,Utah,Reservoir Evaporation,Upper Basin,207.8359288
1975,Wyoming,Agricultural,Upper Basin,263.306833
1975,Wyoming,Energy,Upper Basin,12.92
1975,Wyoming,Minerals,Upper Basin,14.6
1975,Wyoming,Municipal and Industrial,Upper Basin,8.886
1975,Wyoming,Reservoir Evaporation,Upper Basin,120.2739258
1976,Arizona,Agricultural,Lower Basin,1179.161
1976,Arizona,Agricultural,Upper Basin,2.69
1976,Arizona,CAP Canal and Reservoir Evaporation,Lower Basin,0
1976,Arizona,CAP M&I Recharge,Lower Basin,0
1976,Arizona,CAP Tribes,Lower Basin,0
1976,Arizona,Energy,Lower Basin,0.776
1976,Arizona,Energy,Upper Basin,19.931
1976,Arizona,Export,Upper Basin,0
1976,Arizona,Fish and Wildlife and Recreation,Lower Basin,50.364
1976,Arizona,Minerals,Lower Basin,0
1976,Arizona,Minerals,Upper Basin,0
1976,Arizona,Municipal and Industrial,Lower Basin,17.719
1976,Arizona,Municipal and Industrial,Upper Basin,2.9
1976,Arizona,Reservoir Evaporation,Upper Basin,4.986
1976,California,Agricultural,Lower Basin,3884.4562
1976,California,Fish and Wildlife and Recreation,Lower Basin,0.015
1976,California,Municipal and Industrial,Lower Basin,822.1228
1976,Colorado,Agricultural,Upper Basin,1433.270525
1976,Colorado,Energy,Upper Basin,5.504
1976,Colorado,Minerals,Upper Basin,18.9
1976,Colorado,Municipal and Industrial,Upper Basin,289.691225
1976,Colorado,Reservoir Evaporation,Upper Basin,378.9028913
1976,Mexico,Unassigned,Lower Basin,1500
1976,Misc,,Lower Basin,205.395
1976,Misc,Fish and Wildlife and Recreation,Lower Basin,333.00048
1976,Misc,Reservoir Evaporation,Lower Basin,1212.124984
1976,Misc,Unassigned,Lower Basin,68.829
1976,Nevada,Agricultural,Lower Basin,0.078
1976,Nevada,Energy,Lower Basin,14.709
1976,Nevada,Fish and Wildlife and Recreation,Lower Basin,0.822
1976,Nevada,Municipal and Industrial,Lower Basin,57.583
