Year,State,PlotCategory,Basin,SumOfDepletion_kafy
1906,AllUpper,All,Upper Basin,1153.469077
1907,AllUpper,All,Upper Basin,1163.490615
1908,AllUpper,All,Upper Basin,1202.161154
1909,AllUpper,All,Upper Basin,1501.499692
1910,AllUpper,All,Upper Basin,1676.095231
1911,AllUpper,All,Upper Basin,1531.197769
1912,AllUpper,All,Upper Basin,1532.410308
1913,AllUpper,All,Upper Basin,1675.571846
1914,AllLower,All,Lower Basin,1711.5
1914,AllUpper,All,Upper Basin,1654.413385
1914,Mexico,Unassigned,Lower Basin,1500
1915,AllLower,All,Lower Basin,1791.192
1915,AllUpper,All,Upper Basin,1652.177923
1915,Mexico,Unassigned,Lower Basin,1500
1916,AllLower,All,Lower Basin,2019.095
1916,AllUpper,All,Upper Basin,1828.290462
1916,Mexico,Unassigned,Lower Basin,1500
1917,AllLower,All,Lower Basin,2097.791
1917,AllUpper,All,Upper Basin,2025.603
1917,Mexico,Unassigned,Lower Basin,1500
1918,AllLower,All,Lower Basin,2402.496
1918,AllUpper,All,Upper Basin,2135.637538
1918,Mexico,Unassigned,Lower Basin,1500
1919,AllLower,All,Lower Basin,2352.802
1919,AllUpper,All,Upper Basin,2117.269077
1919,Mexico,Unassigned,Lower Basin,1500
1920,AllLower,All,Lower Basin,2515.595
1920,AllUpper,All,Upper Basin,2178.633615
1920,Mexico,Unassigned,Lower Basin,1500
1921,AllLower,All,Lower Basin,2143.897
1921,AllUpper,All,Upper Basin,2037.557154
1921,Mexico,Unassigned,Lower Basin,1500
1922,AllLower,All,Lower Basin,2484
1922,AllUpper,All,Upper Basin,2387.387692
1922,Mexico,Unassigned,Lower Basin,1500
1923,AllLower,All,Lower Basin,2859.599
1923,AllUpper,All,Upper Basin,2076.062231
1923,Mexico,Unassigned,Lower Basin,1500
1924,AllLower,All,Lower Basin,2867.305
1924,AllUpper,All,Upper Basin,2273.091769
1924,Mexico,Unassigned,Lower Basin,1500
1925,AllLower,All,Lower Basin,2888.902
1925,AllUpper,All,Upper Basin,2131.413308
1925,Mexico,Unassigned,Lower Basin,1500
1926,AllLower,All,Lower Basin,2851.91
1926,AllUpper,All,Upper Basin,2175.451846
1926,Mexico,Unassigned,Lower Basin,1500
1927,AllLower,All,Lower Basin,2994.407
1927,AllUpper,All,Upper Basin,2004.932385
1927,Mexico,Unassigned,Lower Basin,1500
1928,AllLower,All,Lower Basin,3061.994
1928,AllUpper,All,Upper Basin,2241.611923
1928,Mexico,Unassigned,Lower Basin,1500
1929,AllLower,All,Lower Basin,3245.496
1929,AllUpper,All,Upper Basin,2220.715462
1929,Mexico,Unassigned,Lower Basin,1500
1930,AllLower,All,Lower Basin,3382.895
1930,AllUpper,All,Upper Basin,2256.261
1930,Mexico,Unassigned,Lower Basin,1500
1931,AllLower,All,Lower Basin,2875.103
1931,AllUpper,All,Upper Basin,2306.911538
1931,Mexico,Unassigned,Lower Basin,1500
1932,AllLower,All,Lower Basin,2797.2
1932,AllUpper,All,Upper Basin,2289.089077
1932,Mexico,Unassigned,Lower Basin,1500
1933,AllLower,All,Lower Basin,2911.416
1933,AllUpper,All,Upper Basin,2436.710615
1933,Mexico,Unassigned,Lower Basin,1500
1934,AllLower,All,Lower Basin,2137.933
1934,AllUpper,All,Upper Basin,2245.196154
1934,Mexico,Unassigned,Lower Basin,1500
1935,AllLower,All,Lower Basin,2826.063
1935,AllUpper,All,Upper Basin,2365.264092
1935,Mexico,Unassigned,Lower Basin,1500
1935,Misc,Reservoir Evaporation,Lower Basin,293.632
1936,AllLower,All,Lower Basin,3388.676
1936,AllUpper,All,Upper Basin,2504.791131
1936,Mexico,Unassigned,Lower Basin,1500
1936,Misc,Reservoir Evaporation,Lower Basin,398.303
1937,AllLower,All,Lower Basin,3513.334
1937,AllUpper,All,Upper Basin,2270.005769
1937,Mexico,Unassigned,Lower Basin,1500
1937,Misc,Reservoir Evaporation,Lower Basin,566.406
1938,AllLower,All,Lower Basin,3300.797
1938,AllUpper,All,Upper Basin,2434.892508
1938,Mexico,Unassigned,Lower Basin,1500
1938,Misc,Reservoir Evaporation,Lower Basin,799.039
1939,AllLower,All,Lower Basin,3311.955
1939,AllUpper,All,Upper Basin,2400.893946
1939,Mexico,Unassigned,Lower Basin,1500
1939,Misc,Reservoir Evaporation,Lower Basin,1006.936547
1940,AllLower,All,Lower Basin,3369.057
1940,AllUpper,All,Upper Basin,2369.733385
1940,Mexico,Unassigned,Lower Basin,1500
1940,Misc,Reservoir Evaporation,Lower Basin,1003.760313
1941,AllLower,All,Lower Basin,3182.669
1941,AllUpper,All,Upper Basin,2129.745923
1941,Mexico,Unassigned,Lower Basin,1500
1941,Misc,Reservoir Evaporation,Lower Basin,1118.775414
1942,AllLower,All,Lower Basin,3102.119
1942,AllUpper,All,Upper Basin,2445.956462
1942,Mexico,Unassigned,Lower Basin,1500
1942,Misc,Reservoir Evaporation,Lower Basin,1096.471117
1943,AllLower,All,Lower Basin,3097.652
1943,AllUpper,All,Upper Basin,2252.471
1943,Mexico,Unassigned,Lower Basin,1500
1943,Misc,Reservoir Evaporation,Lower Basin,1105.029766
1944,AllLower,All,Lower Basin,3250.725
1944,AllUpper,All,Upper Basin,2381.280538
1944,Mexico,Unassigned,Lower Basin,1500
1944,Misc,Reservoir Evaporation,Lower Basin,1063.7065
1945,AllLower,All,Lower Basin,3393.476
1945,AllUpper,All,Upper Basin,2259.636077
1945,Mexico,Unassigned,Lower Basin,1500
1945,Misc,Reservoir Evaporation,Lower Basin,1018.711969
1946,AllLower,All,Lower Basin,3672.767
1946,AllUpper,All,Upper Basin,2345.418215
1946,Mexico,Unassigned,Lower Basin,1500
1946,Misc,Reservoir Evaporation,Lower Basin,969.1521719
1947,AllLower,All,Lower Basin,3777.844
1947,AllUpper,All,Upper Basin,2314.848154
1947,Mexico,Unassigned,Lower Basin,1500
1947,Misc,Reservoir Evaporation,Lower Basin,1002.891375
