"Year","Gage10YrRunMean","FlowGage","below_mean","drought_length","HistoricalPercentile"
1906,NA,18.72376,NA,NA,92.7272727272727
1907,NA,20.892589,NA,NA,93.6363636363636
1908,NA,11.711022,NA,NA,94.5454545454545
1909,NA,22.198132,NA,NA,95.4545454545455
1910,NA,14.596645,NA,NA,96.3636363636364
1911,NA,15.650022,NA,NA,97.2727272727273
1912,NA,18.623405,NA,NA,98.1818181818182
1913,NA,14.53638,NA,NA,99.0909090909091
1914,NA,21.354813,NA,NA,100
1915,17.191004,13.623272,FALSE,0,76.3636363636364
1916,17.3329165,20.142885,FALSE,0,77.2727272727273
1917,17.537938,22.942804,FALSE,0,80.9090909090909
1918,17.9534295,15.865937,FALSE,0,85.4545454545455
1919,16.998753,12.651367,FALSE,0,74.5454545454545
1920,17.7678516,22.287631,FALSE,0,83.6363636363636
1921,18.4555277,22.526783,FALSE,0,90.9090909090909
1922,18.4379068,18.447196,FALSE,0,90
1923,18.8866735,19.024047,FALSE,0,91.8181818181818
1924,18.1389719,13.877797,FALSE,0,86.3636363636364
1925,18.219715,14.430703,FALSE,0,87.2727272727273
1926,17.7267995,15.21373,FALSE,0,82.7272727272727
1927,17.3864403,19.539212,FALSE,0,79.0909090909091
1928,17.4952801,16.954335,FALSE,0,80
1929,18.4131018,21.829584,FALSE,0,89.0909090909091
1930,17.6464427,14.62104,FALSE,0,81.8181818181818
1931,16.2411777,8.474133,FALSE,0,71.8181818181818
1932,16.1386767,17.422186,FALSE,0,70
1933,15.4546222,12.183502,FALSE,0,66.3636363636364
1934,14.6846615,6.17819,TRUE,1,57.2727272727273
1935,14.5046261,12.630349,TRUE,2,52.7272727272727
1936,14.4481402,14.648871,TRUE,3,50.9090909090909
1937,13.9248246,14.306056,TRUE,4,36.3636363636364
1938,14.044223,18.148319,TRUE,5,40
1939,12.9776708,11.164062,TRUE,6,10.9090909090909
1940,12.5087324,9.931656,TRUE,7,7.27272727272727
1941,13.6729868,20.116677,TRUE,8,31.8181818181818
1942,13.6532818,17.225136,TRUE,9,30
1943,13.8080717,13.731401,TRUE,10,34.5454545454545
1944,14.7271949,15.369422,TRUE,11,58.1818181818182
1945,14.8782128,14.140528,FALSE,0,60
1946,14.5228712,11.095455,TRUE,1,53.6363636363636
1947,14.7362141,16.439485,TRUE,2,59.0909090909091
1948,14.4353115,15.139293,TRUE,3,50
1949,15.0122634,16.933581,FALSE,0,62.7272727272727
1950,15.3331394,13.140416,FALSE,0,65.4545454545455
1951,14.5720611,12.505894,TRUE,1,55.4545454545455
1952,14.9300897,20.805422,FALSE,0,60.9090909090909
1953,14.6734915,11.165419,TRUE,1,56.3636363636364
1954,13.9861595,8.496102,TRUE,2,38.1818181818182
1955,13.5134975,9.413908,TRUE,3,23.6363636363636
1956,13.5466394,11.426874,TRUE,4,24.5454545454545
1957,14.0527872,21.500963,TRUE,5,40.9090909090909
1958,14.125109,15.862511,TRUE,6,43.6363636363636
1959,13.3915678,9.598169,TRUE,7,20.9090909090909
1960,13.2299422,11.52416,TRUE,8,16.3636363636364
1961,12.9803787,10.010259,TRUE,9,11.8181818181818
1962,12.6375974,17.377609,TRUE,10,9.09090909090909
1963,12.3879636,8.669081,TRUE,11,5.45454545454545
1964,12.5760604,10.37707,TRUE,12,8.18181818181818
1965,13.5869391,19.522695,TRUE,13,26.3636363636364
1966,13.4667868,10.225351,TRUE,14,22.7272727272727
1967,12.4737128,11.570223,TRUE,15,6.36363636363636
1968,12.2503228,13.628611,TRUE,16,4.54545454545455
1969,12.791059,15.005531,TRUE,17,10
1970,13.1334928,14.948498,TRUE,18,12.7272727272727
1971,13.6309906,14.985237,TRUE,19,29.0909090909091
1972,13.2048685,13.116388,TRUE,20,15.4545454545455
1973,14.1537293,18.157689,TRUE,21,44.5454545454545
1974,14.4081081,12.920858,TRUE,22,49.0909090909091
1975,14.1093107,16.534721,TRUE,23,42.7272727272727
1976,14.19102,11.042444,TRUE,24,46.3636363636364
1977,13.5700675,5.360698,TRUE,25,25.4545454545455
1978,13.720924,15.137176,TRUE,26,33.6363636363636
1979,13.9637677,17.433968,TRUE,27,37.2727272727273
1980,14.2128361,17.439182,TRUE,28,47.2727272727273
1981,13.6040587,8.897463,TRUE,29,28.1818181818182
1982,14.0232256,17.308057,TRUE,30,39.0909090909091
1983,14.5660081,23.585514,TRUE,31,54.5454545454545
1984,15.7083267,24.344044,FALSE,0,68.1818181818182
1985,16.1542427,20.993881,FALSE,0,70.9090909090909
1986,17.3445786,22.945803,FALSE,0,78.1818181818182
1987,18.3359777,15.274689,FALSE,0,88.1818181818182
1988,17.9365454,11.142853,FALSE,0,84.5454545454545
1989,17.1365415,9.433929,FALSE,0,75.4545454545455
1990,16.3246397,9.320164,FALSE,0,72.7272727272727
1991,16.6645776,12.296842,FALSE,0,73.6363636363636
1992,16.0254237,10.916518,FALSE,0,69.0909090909091
1993,15.5550557,18.881834,FALSE,0,67.2727272727273
1994,14.174563,10.539117,TRUE,1,45.4545454545455
1995,14.0722687,19.970938,TRUE,2,41.8181818181818
1996,13.19721,14.195216,TRUE,3,14.5454545454545
1997,13.8358293,21.660882,TRUE,4,35.4545454545455
1998,14.3910119,16.694679,TRUE,5,48.1818181818182
1999,15.030598,15.82979,FALSE,0,63.6363636363636
2000,15.1494788,10.508972,FALSE,0,64.5454545454545
2001,14.9914062,10.716116,FALSE,0,61.8181818181818
2002,14.5026319,6.028775,TRUE,1,51.8181818181818
2003,13.6648643,10.504158,TRUE,2,30.9090909090909
2004,13.6010916,9.90139,TRUE,3,27.2727272727273
2005,13.3119707,17.079729,TRUE,4,20
2006,13.2444017,13.519526,TRUE,5,18.1818181818182
2007,12.2166478,11.383343,TRUE,6,3.63636363636364
2008,12.1557287,16.085488,TRUE,7,1.81818181818182
2009,11.98253,14.097803,TRUE,8,0.909090909090909
2010,12.203374,12.717412,TRUE,9,2.72727272727273
2011,13.1455553,20.137929,TRUE,10,13.6363636363636
2012,13.2973621,7.546843,TRUE,11,19.0909090909091
2013,13.2320463,9.851,TRUE,12,17.2727272727273
2014,13.6832073,14.413,TRUE,13,32.7272727272727
2015,13.4020344,14.268,TRUE,14,21.8181818181818
